Country Name,Title,Pub Date,DescriptionLink
Belgium,‘Inhumane’: Top Belgium officials criticise Israeli bombing of Gaza - Al Jazeera English,"Fri, 10 Nov 2023 16:34:30 GMT",https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDIzLzExLzEwL3RvcC1iZWxnaXVtLW9mZmljaWFscy1pbmNsdWRpbmctcG0tY3JpdGljaXNlLWlzcmFlbGktYm9tYmluZy1vZi1nYXph0gFyaHR0cHM6Ly93d3cuYWxqYXplZXJhLmNvbS9hbXAvbmV3cy8yMDIzLzExLzEwL3RvcC1iZWxnaXVtLW9mZmljaWFscy1pbmNsdWRpbmctcG0tY3JpdGljaXNlLWlzcmFlbGktYm9tYmluZy1vZi1nYXph?oc=5
Belgium,Leeds man pledges to preserve World War One trench in Belgium - BBC.com,"Sun, 12 Nov 2023 07:48:45 GMT",https://news.google.com/rss/articles/CBMiNWh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9hdi91ay1lbmdsYW5kLWxlZWRzLTY3Mzg0OTc20gEA?oc=5
Belgium,"Not clear Big Tech need pay for 5G, broadband rollout, Belgian regulator says - Reuters","Mon, 13 Nov 2023 16:38:00 GMT",https://news.google.com/rss/articles/CBMiggFodHRwczovL3d3dy5yZXV0ZXJzLmNvbS9idXNpbmVzcy9tZWRpYS10ZWxlY29tL25vdC1jbGVhci1iaWctdGVjaC1uZWVkLXBheS01Zy1icm9hZGJhbmQtcm9sbG91dC1iZWxnaWFuLXJlZ3VsYXRvci1zYXlzLTIwMjMtMTEtMTMv0gEA?oc=5
Belgium,"Belgium, Great Britain, Mexico and Ukraine reach 2024 Billie Jean King Cup Qualifiers - Billie Jean King Cup","Sun, 12 Nov 2023 21:26:33 GMT",https://news.google.com/rss/articles/CBMiqQFodHRwczovL3d3dy5iaWxsaWVqZWFua2luZ2N1cC5jb20vZW4vYmprYy9jb250ZW50L2JlbGdpdW0sJTIwZ3JlYXQlMjBicml0YWluLCUyMG1leGljbyUyMGFuZCUyMHVrcmFpbmUlMjBwcm9ncmVzcyUyMHRvJTIwMjAyNCUyMGJpbGxpZSUyMGplYW4lMjBraW5nJTIwY3VwJTIwcXVhbGlmaWVycy0x0gEA?oc=5
Belgium,"EU nations condemn Hamas for what they describe as use of hospitals, civilians as 'human shields' - The Independent","Mon, 13 Nov 2023 09:54:04 GMT",https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LmluZGVwZW5kZW50LmNvLnVrL25ld3MvaGFtYXMtYXAtaXNyYWVsLWJydXNzZWxzLXVuaXRlZC1uYXRpb25zLWIyNDQ2MjgwLmh0bWzSAQA?oc=5
Belgium,Leuven: Belgium's most underrated city - The Spectator,"Mon, 13 Nov 2023 06:00:00 GMT",https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3LnNwZWN0YXRvci5jby51ay9hcnRpY2xlL2xldXZlbi1iZWxnaXVtcy1tb3N0LXVuZGVycmF0ZWQtY2l0eS_SAQA?oc=5
Belgium,Dramatic video captures moment teen cyclist rides over level crossing in Belgium – and gets knocked off bike by train ... - road.cc,"Sat, 11 Nov 2023 10:17:02 GMT",https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vcm9hZC5jYy9jb250ZW50L25ld3MvdGVlbi1jeWNsaXN0LWlnbm9yZXMtbGV2ZWwtY3Jvc3NpbmctYW5kLWdldHMtaGl0LXRyYWluLTMwNTAzN9IBAA?oc=5
Belgium,Van Langendonck & Vercauteren give Belgium historic breakthrough gold in U21 Worlds | volleyballworld.com - Volleyball World,"Sun, 12 Nov 2023 10:18:38 GMT",https://news.google.com/rss/articles/CBMirgFodHRwczovL2VuLnZvbGxleWJhbGx3b3JsZC5jb20vYmVhY2h2b2xsZXliYWxsL2NvbXBldGl0aW9ucy91MjEtd29ybGQtY2hhbXBpb25zaGlwcy0yMDIzL25ld3MvdmFuLWxhbmdlbmRvbmNrLXZlcmNhdXRlcmVuLWdpdmUtYmVsZ2l1bS1oaXN0b3JpYy1icmVha3Rocm91Z2gtZ29sZC1pbi11MjEtd29ybGTSAQA?oc=5
Belgium,25th anniversary of Island of Ireland Peace Park to be marked with ceremony in Belgium - The Irish Times,"Sat, 11 Nov 2023 11:06:10 GMT",https://news.google.com/rss/articles/CBMijQFodHRwczovL3d3dy5pcmlzaHRpbWVzLmNvbS9oaXN0b3J5L2NlbnR1cnkvMjAyMy8xMS8xMS8yNXRoLWFubml2ZXJzYXJ5LW9mLWlzbGFuZC1vZi1pcmVsYW5kLXBlYWNlLXBhcmstdG8tYmUtbWFya2VkLXdpdGgtY2VyZW1vbnktaW4tYmVsZ2l1bS_SAQA?oc=5
Belgium,Nothing like a good walk: Most pedestrians in Belgium dislike the journey - The Brussels Times,"Mon, 13 Nov 2023 07:04:14 GMT",https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmJydXNzZWxzdGltZXMuY29tLzc5MjY0OS9wZWRlc3RyaWFucy1pbi1iZWxnaXVtLWRvLW5vdC1lbmpveS10aGVpci1qb3VybmV5cy1zdXJ2ZXktcmV2ZWFsc9IBAA?oc=5
