Country Name,Title,Pub Date,DescriptionLink
France,"More than 180,000 demonstrators march in France against antisemitism - CNN","Mon, 13 Nov 2023 06:03:00 GMT",https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8xMS8xMy9ldXJvcGUvZnJhbmNlLW1hcmNoLWFudGlzZW1pdGlzbS1pc3JhZWwtaGFtYXMtd2FyLWludGwtaG5rL2luZGV4Lmh0bWzSAWhodHRwczovL2FtcC5jbm4uY29tL2Nubi8yMDIzLzExLzEzL2V1cm9wZS9mcmFuY2UtbWFyY2gtYW50aXNlbWl0aXNtLWlzcmFlbC1oYW1hcy13YXItaW50bC1obmsvaW5kZXguaHRtbA?oc=5
France,More heavy rain in northern France raises fears of new flooding - FRANCE 24 English,"Tue, 14 Nov 2023 01:12:10 GMT",https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3LmZyYW5jZTI0LmNvbS9lbi9mcmFuY2UvMjAyMzExMTQtbW9yZS1oZWF2eS1yYWluLWluLW5vcnRoZXJuLWZyYW5jZS1yYWlzZXMtZmVhcnMtb2YtbmV3LWZsb29kaW5n0gEA?oc=5
France,France-operated ship to serve as floating hospital off Sinai coast this weekend — source - The Times of Israel,"Sun, 12 Nov 2023 14:26:00 GMT",https://news.google.com/rss/articles/CBMihAFodHRwczovL3d3dy50aW1lc29maXNyYWVsLmNvbS9saXZlYmxvZ19lbnRyeS9mcmFuY2Utb3BlcmF0ZWQtc2hpcC10by1zZXJ2ZS1hcy1mbG9hdGluZy1ob3NwaXRhbC1vZmYtc2luYWktY29hc3QtdGhpcy13ZWVrZW5kLXNvdXJjZS_SAQA?oc=5
France,"War in Ukraine: Forces train in France, Germany doubles military aid - Euronews","Mon, 13 Nov 2023 07:59:33 GMT",https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3LmV1cm9uZXdzLmNvbS8yMDIzLzExLzEzL3VrcmFpbmlhbi1mb3JjZXMtdHJhaW4taW4tZnJhbmNlLWFzLWdlcm1hbnktZG91Ymxlcy1pdHMtbWlsaXRhcnktYWlk0gEA?oc=5
France,France's Macron urges Israel to stop bombing Gaza - Reuters,"Sat, 11 Nov 2023 12:21:00 GMT",https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL21pZGRsZS1lYXN0L2ZyYW5jZXMtbWFjcm9uLXVyZ2VzLWlzcmFlbC1zdG9wLWJvbWJpbmctZ2F6YS0yMDIzLTExLTEwL9IBAA?oc=5
France,Volotea Adds Ninth Base In France - Aviation Week,"Mon, 13 Nov 2023 13:42:30 GMT",https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vYXZpYXRpb253ZWVrLmNvbS9haXItdHJhbnNwb3J0L2FpcnBvcnRzLW5ldHdvcmtzL3ZvbG90ZWEtYWRkcy1uaW50aC1iYXNlLWZyYW5jZdIBAA?oc=5
France,Three France stars set to join Antoine Dupont at the Paris Olympics - report - planetrugby.com,"Mon, 13 Nov 2023 10:52:24 GMT",https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3LnBsYW5ldHJ1Z2J5LmNvbS9uZXdzL3RocmVlLWZyYW5jZS1zdGFycy1zZXQtdG8tam9pbi1hbnRvaW5lLWR1cG9udC1hdC10aGUtcGFyaXMtb2x5bXBpY3MtcmVwb3J00gEA?oc=5
France,France blames Russia for an online effort to whip up controversy over Stars of David graffiti - PBS NewsHour,"Sat, 11 Nov 2023 01:23:01 GMT",https://news.google.com/rss/articles/CBMigAFodHRwczovL3d3dy5wYnMub3JnL25ld3Nob3VyL3dvcmxkL2ZyYW5jZS1ibGFtZXMtcnVzc2lhLWZvci1hbi1vbmxpbmUtZWZmb3J0LXRvLXdoaXAtdXAtY29udHJvdmVyc3ktb3Zlci1zdGFycy1vZi1kYXZpZC1ncmFmZml0adIBhAFodHRwczovL3d3dy5wYnMub3JnL25ld3Nob3VyL2FtcC93b3JsZC9mcmFuY2UtYmxhbWVzLXJ1c3NpYS1mb3ItYW4tb25saW5lLWVmZm9ydC10by13aGlwLXVwLWNvbnRyb3ZlcnN5LW92ZXItc3RhcnMtb2YtZGF2aWQtZ3JhZmZpdGk?oc=5
France,"Noem speaks at conservative conference in Paris, France - Dakota News Now","Fri, 10 Nov 2023 18:42:00 GMT",https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmRha290YW5ld3Nub3cuY29tLzIwMjMvMTEvMTAvbm9lbS1zcGVha3MtY29uc2VydmF0aXZlLWNvbmZlcmVuY2UtcGFyaXMtZnJhbmNlL9IBaWh0dHBzOi8vd3d3LmRha290YW5ld3Nub3cuY29tLzIwMjMvMTEvMTAvbm9lbS1zcGVha3MtY29uc2VydmF0aXZlLWNvbmZlcmVuY2UtcGFyaXMtZnJhbmNlLz9vdXRwdXRUeXBlPWFtcA?oc=5
France,Macron calls on Israel to stop killing Gaza's women and babies - BBC.com,"Sat, 11 Nov 2023 00:15:27 GMT",https://news.google.com/rss/articles/CBMiLmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC1ldXJvcGUtNjczNTY1ODHSATJodHRwczovL3d3dy5iYmMuY29tL25ld3Mvd29ybGQtZXVyb3BlLTY3MzU2NTgxLmFtcA?oc=5
France,"More than 180,000 join marches against anti-Semitism in France - Al Jazeera English","Mon, 13 Nov 2023 02:45:35 GMT",https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDIzLzExLzEzL21vcmUtdGhhbi0xODAwMDAtam9pbi1tYXJjaGVzLWFnYWluc3QtYW50aS1zZW1pdGlzbS1pbi1mcmFuY2XSAWtodHRwczovL3d3dy5hbGphemVlcmEuY29tL2FtcC9uZXdzLzIwMjMvMTEvMTMvbW9yZS10aGFuLTE4MDAwMC1qb2luLW1hcmNoZXMtYWdhaW5zdC1hbnRpLXNlbWl0aXNtLWluLWZyYW5jZQ?oc=5
France,"France calls for an immediate, lasting and sustained humanitarian ... - France ONU","Mon, 13 Nov 2023 14:57:43 GMT",https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vb251LmRlbGVnZnJhbmNlLm9yZy9mcmFuY2UtY2FsbHMtZm9yLWFuLWltbWVkaWF0ZS1sYXN0aW5nLWFuZC1zdXN0YWluZWQtaHVtYW5pdGFyaWFuLXRydWNl0gEA?oc=5
France,France’s Macron urges Israel to stop bombing and killing civilians in Gaza - Al Jazeera English,"Sat, 11 Nov 2023 08:57:30 GMT",https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDIzLzExLzExL2ZyYW5jZXMtbWFjcm9uLXVyZ2VzLWlzcmFlbC10by1zdG9wLWJvbWJpbmctYW5kLWtpbGxpbmctY2l2aWxpYW5zLWluLWdhemHSAXdodHRwczovL3d3dy5hbGphemVlcmEuY29tL2FtcC9uZXdzLzIwMjMvMTEvMTEvZnJhbmNlcy1tYWNyb24tdXJnZXMtaXNyYWVsLXRvLXN0b3AtYm9tYmluZy1hbmQta2lsbGluZy1jaXZpbGlhbnMtaW4tZ2F6YQ?oc=5
France,EDF and France reach deal on electricity prices-source - Reuters,"Mon, 13 Nov 2023 15:59:00 GMT",https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2J1c2luZXNzL2VuZXJneS9lZGYtZnJhbmNlLWFncmVlLTcwLWV1cm9zbXdoLWVsZWN0cmljaXR5LXByaWNlLWRlYWwtc291cmNlLTIwMjMtMTEtMTMv0gEA?oc=5
France,What It's Actually Like to Buy an Old Chateau in France - Condé Nast Traveler,"Mon, 13 Nov 2023 23:38:41 GMT",https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3LmNudHJhdmVsZXIuY29tL3N0b3J5L2hvdy10by1idXktYS1jaGF0ZWF1LWluLWZyYW5jZS1hY2NvcmRpbmctdG8tc29tZW9uZS13aG9zLWRvbmUtaXTSAQA?oc=5
France,Nestle France in talks to sell Caudry plant to Italpizza - Reuters.com,"Mon, 13 Nov 2023 18:02:00 GMT",https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL21hcmtldHMvZGVhbHMvbmVzdGxlLWZyYW5jZS10YWxrcy1zZWxsLWNhdWRyeS1wbGFudC1pdGFscGl6emEtMjAyMy0xMS0xMy_SAQA?oc=5
France,France will continue to mobilize so that the Ukrainian children ... - France ONU,"Mon, 13 Nov 2023 17:32:43 GMT",https://news.google.com/rss/articles/CBMia2h0dHBzOi8vb251LmRlbGVnZnJhbmNlLm9yZy9mcmFuY2Utd2lsbC1jb250aW51ZS10by1tb2JpbGl6ZS1zby10aGF0LXRoZS11a3JhaW5pYW4tY2hpbGRyZW4tZmxlZWluZy13YXItYXJl0gEA?oc=5
France,"What Are Colonies For? France and Algeria, 1848 - JSTOR Daily","Sun, 12 Nov 2023 13:28:39 GMT",https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vZGFpbHkuanN0b3Iub3JnL3doYXQtYXJlLWNvbG9uaWVzLWZvci1mcmFuY2UtYW5kLWFsZ2VyaWEtMTg0OC_SAQA?oc=5
France,Irish PM eyes second electricity interconnector with France - Reuters,"Mon, 13 Nov 2023 16:30:00 GMT",https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL2V1cm9wZS9pcmlzaC1wbS1leWVzLXNlY29uZC1lbGVjdHJpY2l0eS1pbnRlcmNvbm5lY3Rvci13aXRoLWZyYW5jZS0yMDIzLTExLTEzL9IBAA?oc=5
France,"France’s Poorest Island is Parched Due to Drought, Underinvestment - Voice of America - VOA News","Mon, 13 Nov 2023 02:57:24 GMT",https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3LnZvYW5ld3MuY29tL2EvZnJhbmNlLXMtcG9vcmVzdC1pc2xhbmQtaXMtcGFyY2hlZC1kdWUtdG8tZHJvdWdodC11bmRlcmludmVzdG1lbnQvNzM1MjM4OS5odG1s0gFqaHR0cHM6Ly93d3cudm9hbmV3cy5jb20vYW1wL2ZyYW5jZS1zLXBvb3Jlc3QtaXNsYW5kLWlzLXBhcmNoZWQtZHVlLXRvLWRyb3VnaHQtdW5kZXJpbnZlc3RtZW50LzczNTIzODkuaHRtbA?oc=5
France,Rain in northern France raises fears of new flooding - Phys.org,"Mon, 13 Nov 2023 21:13:22 GMT",https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vcGh5cy5vcmcvbmV3cy8yMDIzLTExLW5vcnRoZXJuLWZyYW5jZS5odG1s0gExaHR0cHM6Ly9waHlzLm9yZy9uZXdzLzIwMjMtMTEtbm9ydGhlcm4tZnJhbmNlLmFtcA?oc=5
France,"A first-timer's guide to Troyes, France - Lonely Planet Travel News","Mon, 13 Nov 2023 23:14:23 GMT",https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vd3d3LmxvbmVseXBsYW5ldC5jb20vYXJ0aWNsZXMvZmlyc3QtdGltZS1ndWlkZS10by10cm95ZXMtZnJhbmNl0gEA?oc=5
France,"France, UK Call for Stricter Commercial Spyware Rules - GovInfoSecurity.com","Mon, 13 Nov 2023 20:10:32 GMT",https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LmdvdmluZm9zZWN1cml0eS5jb20vZnJhbmNlLXVrLWNhbGwtZm9yLXN0cmljdGVyLWNvbW1lcmNpYWwtc3B5d2FyZS1ydWxlcy1hLTIzNTgz0gEA?oc=5
France,France and Lloyd's set out their pitch for captive business | Business ... - Business Insurance,"Mon, 13 Nov 2023 15:43:56 GMT",https://news.google.com/rss/articles/CBMihwFodHRwczovL3d3dy5idXNpbmVzc2luc3VyYW5jZS5jb20vYXJ0aWNsZS8yMDIzMTExMy9ORVdTMDYvOTEyMzYxMDEwL0ZyYW5jZS1hbmQtTGxveWQlRTIlODAlOTlzLXNldC1vdXQtdGhlaXItcGl0Y2gtZm9yLWNhcHRpdmUtYnVzaW5lc3PSAQA?oc=5
France,'Punished enough by Brexit': France could relax 90-day rule for ... - The Telegraph,"Mon, 13 Nov 2023 18:09:00 GMT",https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3LnRlbGVncmFwaC5jby51ay9tb25leS9wcm9wZXJ0eS9zZWNvbmQtaG9tZXMvZnJhbmNlLWJyZXhpdC12aXNhLXJ1bGUtcmVsYXgtYnJpdGlzaC1zZWNvbmQtaG9tZXMv0gEA?oc=5
France,France's clean power clout to be tested again this winter - Reuters,"Wed, 08 Nov 2023 08:44:00 GMT",https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL21hcmtldHMvY29tbW9kaXRpZXMvZnJhbmNlcy1jbGVhbi1wb3dlci1jbG91dC1iZS10ZXN0ZWQtYWdhaW4tdGhpcy13aW50ZXItMjAyMy0xMS0wOC_SAQA?oc=5
