Country Name,Title,Pub Date,DescriptionLink
Germany,"Germany is a good place to be Jewish. Unless, like me, you’re a Jew who criticises Israel - The Guardian","Mon, 13 Nov 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9jb21tZW50aXNmcmVlLzIwMjMvbm92LzEzL2dlcm1hbnktamV3aXNoLWNyaXRpY2lzZS1pc3JhZWwtdHYtZGViYXRl0gFfaHR0cHM6Ly9hbXAudGhlZ3VhcmRpYW4uY29tL2NvbW1lbnRpc2ZyZWUvMjAyMy9ub3YvMTMvZ2VybWFueS1qZXdpc2gtY3JpdGljaXNlLWlzcmFlbC10di1kZWJhdGU?oc=5
Germany,Germany's support for Ukraine is to be 'massively expanded' next year - ABC News,"Mon, 13 Nov 2023 09:52:33 GMT",https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vYWJjbmV3cy5nby5jb20vSW50ZXJuYXRpb25hbC93aXJlU3RvcnkvZ2VybWFueXMtc3VwcG9ydC11a3JhaW5lLW1hc3NpdmVseS1leHBhbmRlZC15ZWFyLTEwNDg0MDQ5ONIBbWh0dHBzOi8vYWJjbmV3cy5nby5jb20vYW1wL0ludGVybmF0aW9uYWwvd2lyZVN0b3J5L2dlcm1hbnlzLXN1cHBvcnQtdWtyYWluZS1tYXNzaXZlbHktZXhwYW5kZWQteWVhci0xMDQ4NDA0OTg?oc=5
Germany,German homebuilding collapse threatens wider economic damage - Financial Times,"Sun, 12 Nov 2023 05:01:16 GMT",https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50L2I2MGZhMzhhLTljY2EtNDE3MC1hOWY3LWEwODI2YjljYTc0YtIBAA?oc=5
Germany,Germany's Economy Is in a Bad Slump. These 6 Stocks Could Rebound. - Barron's,"Sun, 12 Nov 2023 05:30:43 GMT",https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LmJhcnJvbnMuY29tL2FydGljbGVzL2dlcm1hbnktZWNvbm9teS1zdG9jay1tYXJrZXQtYm13LWhhcGFnLWZyZWVuZXQtODJhZTVkNmLSAQA?oc=5
Germany,Germany’s Scholz spurns calls for Gaza ceasefire; UK defense chief backs IDF efforts - The Times of Israel,"Sun, 12 Nov 2023 20:44:00 GMT",https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LnRpbWVzb2Zpc3JhZWwuY29tL2dlcm1hbnlzLXNjaG9sei1zcHVybnMtY2FsbHMtZm9yLWdhemEtY2Vhc2VmaXJlLXVrLWRlZmVuc2UtY2hpZWYtZGVmZW5kcy1pZGYtZWZmb3J0cy_SAXdodHRwczovL3d3dy50aW1lc29maXNyYWVsLmNvbS9nZXJtYW55cy1zY2hvbHotc3B1cm5zLWNhbGxzLWZvci1nYXphLWNlYXNlZmlyZS11ay1kZWZlbnNlLWNoaWVmLWRlZmVuZHMtaWRmLWVmZm9ydHMvYW1wLw?oc=5
Germany,Germany: 'Largest battery storage project in Europe' gets go-ahead - Energy-Storage.news,"Mon, 13 Nov 2023 13:22:51 GMT",https://news.google.com/rss/articles/CBMigwFodHRwczovL3d3dy5lbmVyZ3ktc3RvcmFnZS5uZXdzL2xhcmdlc3QtYXBwcm92ZWQtYmVzcy1pbi1ldXJvcGUtY2xhaW1lZC1pbi1nZXJtYW55LWFzLXJlZ3VsYXRvcnMtZXh0ZW5kLWdyaWQtZmVlLWV4ZW1wdGlvbi10by0yMDI5L9IBAA?oc=5
Germany,Most Germans fear Gaza violence will spark terror attacks - DW (English),"Sun, 12 Nov 2023 14:51:59 GMT",https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmR3LmNvbS9lbi9tb3N0LWdlcm1hbnMtZmVhci1nYXphLXZpb2xlbmNlLXdpbGwtc3BhcmstdGVycm9yLWF0dGFja3MvYS02NzM4MDI2OdIBWmh0dHBzOi8vYW1wLmR3LmNvbS9lbi9tb3N0LWdlcm1hbnMtZmVhci1nYXphLXZpb2xlbmNlLXdpbGwtc3BhcmstdGVycm9yLWF0dGFja3MvYS02NzM4MDI2OQ?oc=5
Germany,Frankfurt shines as NFL's international stage expands in Germany - Colts.com,"Mon, 13 Nov 2023 08:11:20 GMT",https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmNvbHRzLmNvbS9uZXdzL2ZyYW5rZnVydC1zaGluZXMtYXMtbmZsLXMtaW50ZXJuYXRpb25hbC1zdGFnZS1leHBhbmRzLWluLWdlcm1hbnnSAQA?oc=5
Germany,Patriots players speak highly of Germany experience - Pats Pulpit,"Mon, 13 Nov 2023 10:15:22 GMT",https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LnBhdHNwdWxwaXQuY29tLzIwMjMvMTEvMTMvMjM5NTg2MjMvcGF0cmlvdHMtcGhlbm9tZW5hbC10aW1lLXRyaXAtZ2VybWFueS1jb2x0c9IBZ2h0dHBzOi8vd3d3LnBhdHNwdWxwaXQuY29tL3BsYXRmb3JtL2FtcC8yMDIzLzExLzEzLzIzOTU4NjIzL3BhdHJpb3RzLXBoZW5vbWVuYWwtdGltZS10cmlwLWdlcm1hbnktY29sdHM?oc=5
Germany,"Four Ups, Four Downs from Patriots' ugly loss to Colts in Germany - CBS Boston","Sun, 12 Nov 2023 17:46:00 GMT",https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3LmNic25ld3MuY29tL2Jvc3Rvbi9uZXdzL2ZvdXItdXBzLWZvdXItZG93bnMtZnJvbS1wYXRyaW90cy1jb2x0cy1pbi1nZXJtYW55L9IBW2h0dHBzOi8vd3d3LmNic25ld3MuY29tL2FtcC9ib3N0b24vbmV3cy9mb3VyLXVwcy1mb3VyLWRvd25zLWZyb20tcGF0cmlvdHMtY29sdHMtaW4tZ2VybWFueS8?oc=5
Germany,American Fritz Polite fueled rise in popularity of U.S. football in Germany - Andscape,"Fri, 10 Nov 2023 15:35:33 GMT",https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vYW5kc2NhcGUuY29tL2ZlYXR1cmVzL2FtZXJpY2FuLWZyaXR6LXBvbGl0ZS1mdWVsZWQtcmlzZS1pbi1wb3B1bGFyaXR5LW9mLXUtcy1mb290YmFsbC1pbi1nZXJtYW55L9IBbWh0dHBzOi8vYW5kc2NhcGUuY29tL2ZlYXR1cmVzL2FtZXJpY2FuLWZyaXR6LXBvbGl0ZS1mdWVsZWQtcmlzZS1pbi1wb3B1bGFyaXR5LW9mLXUtcy1mb290YmFsbC1pbi1nZXJtYW55L2FtcC8?oc=5
Germany,Germany's Scholz backs Calviño for EIB top job - POLITICO Europe,"Sat, 11 Nov 2023 11:20:00 GMT",https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vd3d3LnBvbGl0aWNvLmV1L2FydGljbGUvZ2VybWFueS1zY2hvbHotYmFja3MtY2Fsdmluby1laWItam9iL9IBAA?oc=5
Germany,Berlin Steps Up – Uncle Sam Is Still Ukraine's Biggest Supporter but ... - Kyiv Post,"Mon, 13 Nov 2023 23:41:12 GMT",https://news.google.com/rss/articles/CBMiI2h0dHBzOi8vd3d3Lmt5aXZwb3N0LmNvbS9wb3N0LzI0MDU40gEA?oc=5
Germany,Q&A – Germany plans to shield industry with electricity tax breaks ... - Clean Energy Wire,"Mon, 13 Nov 2023 15:09:52 GMT",https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LmNsZWFuZW5lcmd5d2lyZS5vcmcvZmFjdHNoZWV0cy9xYS1nZXJtYW55LXBsYW5zLXNoaWVsZC1pbmR1c3RyeS1lbGVjdHJpY2l0eS10YXgtYnJlYWtzLXN1YnNpZGllc9IBAA?oc=5
Germany,Germany approves global minimum corporate tax - Reuters,"Fri, 10 Nov 2023 14:13:00 GMT",https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL2V1cm9wZS9nZXJtYW55LWFwcHJvdmVzLWdsb2JhbC1taW5pbXVtLWNvcnBvcmF0ZS10YXgtMjAyMy0xMS0xMC_SAQA?oc=5
