Country Name,Title,Pub Date,DescriptionLink
Netherlands,Dutch election candidates make migration a key campaign issue in the crowded Netherlands - The Associated Press,"Sun, 12 Nov 2023 06:07:00 GMT",https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL25ldGhlcmxhbmRzLWVsZWN0aW9uLW1pZ3JhdGlvbi1hc3lsdW0tZTNkMzNlYWIwODRmZmRiYzg3Yjc1MDFmMTEwNzZlYzjSAQA?oc=5
Netherlands,Everything you need to know about the Dutch general election - Euronews,"Mon, 13 Nov 2023 06:02:03 GMT",https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3LmV1cm9uZXdzLmNvbS8yMDIzLzExLzEzL2V2ZXJ5dGhpbmcteW91LW5lZWQtdG8ta25vdy1hYm91dC10aGUtZHV0Y2gtZ2VuZXJhbC1lbGVjdGlvbtIBAA?oc=5
Netherlands,Dutch elections 2023: everything you need to know - The Guardian,"Wed, 08 Nov 2023 11:25:00 GMT",https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS93b3JsZC8yMDIzL25vdi8wOC9kdXRjaC1lbGVjdGlvbnMtMjAyMy1ldmVyeXRoaW5nLXlvdS1uZWVkLXRvLWtub3ctcG9sbHPSAWRodHRwczovL2FtcC50aGVndWFyZGlhbi5jb20vd29ybGQvMjAyMy9ub3YvMDgvZHV0Y2gtZWxlY3Rpb25zLTIwMjMtZXZlcnl0aGluZy15b3UtbmVlZC10by1rbm93LXBvbGxz?oc=5
Netherlands,Strong wind gusts of 90 km/h expected in the Netherlands; Thunder and hail on Tuesday - NL Times,"Mon, 13 Nov 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vbmx0aW1lcy5ubC8yMDIzLzExLzEzL3N0cm9uZy13aW5kLWd1c3RzLTkwLWttaC1leHBlY3RlZC1uZXRoZXJsYW5kcy10aHVuZGVyLWhhaWwtdHVlc2RhedIBAA?oc=5
Netherlands,"Italy, Netherlands, Wales aim to secure Euro 2024 qualification - Yahoo Sports","Tue, 14 Nov 2023 01:48:00 GMT",https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vc3BvcnRzLnlhaG9vLmNvbS9pdGFseS1uZXRoZXJsYW5kcy13YWxlcy1haW0tc2VjdXJlLTAxNDgwOTIyMS5odG1s0gEA?oc=5
Netherlands,Amazon has an office in former de Koepel prison in the Netherlands - Business Insider,"Fri, 10 Nov 2023 21:58:00 GMT",https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vYW1hem9uLW9mZmljZS1mb3JtZXItcHJpc29uLWRlLWtvZXBlbC1uZXRoZXJsYW5kcy0yMDIzLTEx0gFdaHR0cHM6Ly93d3cuYnVzaW5lc3NpbnNpZGVyLmNvbS9hbWF6b24tb2ZmaWNlLWZvcm1lci1wcmlzb24tZGUta29lcGVsLW5ldGhlcmxhbmRzLTIwMjMtMTE_YW1w?oc=5
Netherlands,Amsterdam welcomes decline of nuisance tourism after ‘stay away’ drive - The Guardian,"Sat, 11 Nov 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS93b3JsZC8yMDIzL25vdi8xMS9hbXN0ZXJkYW0td2VsY29tZXMtZGVjbGluZS1vZi1udWlzYW5jZS10b3VyaXNtLWFmdGVyLXN0YXktYXdheS1kcml2ZdIBcmh0dHBzOi8vYW1wLnRoZWd1YXJkaWFuLmNvbS93b3JsZC8yMDIzL25vdi8xMS9hbXN0ZXJkYW0td2VsY29tZXMtZGVjbGluZS1vZi1udWlzYW5jZS10b3VyaXNtLWFmdGVyLXN0YXktYXdheS1kcml2ZQ?oc=5
Netherlands,Tata Steel cuts 800 jobs in the Netherlands - Reuters,"Mon, 13 Nov 2023 14:05:00 GMT",https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2J1c2luZXNzL3RhdGEtc3RlZWwtY3V0cy04MDAtam9icy1uZXRoZXJsYW5kcy0yMDIzLTExLTEzL9IBAA?oc=5
Netherlands,Recent Match Report - India vs Netherlands 45th Match 2023/24 - ESPNcricinfo,"Sun, 12 Nov 2023 16:35:45 GMT",https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LmVzcG5jcmljaW5mby5jb20vc2VyaWVzL2ljYy1jcmlja2V0LXdvcmxkLWN1cC0yMDIzLTI0LTEzNjc4NTYvaW5kaWEtdnMtbmV0aGVybGFuZHMtNDV0aC1tYXRjaC0xMzg0NDM2L21hdGNoLXJlcG9ydNIBAA?oc=5
Netherlands,The Netherlands' Amersfoort named European City of the Year - Euronews,"Sat, 11 Nov 2023 07:36:41 GMT",https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vd3d3LmV1cm9uZXdzLmNvbS8yMDIzLzExLzExL3RoZS1uZXRoZXJsYW5kcy1hbWVyc2Zvb3J0LW5hbWVkLWV1cm9wZWFuLWNpdHktb2YtdGhlLXllYXLSAQA?oc=5
