Country Name,Title,Pub Date,DescriptionLink
Sweden,Sweden is suffering a grim wave of gang violence - The Economist,"Mon, 13 Nov 2023 20:41:50 GMT",https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LmVjb25vbWlzdC5jb20vZXVyb3BlLzIwMjMvMTEvMTMvc3dlZGVuLWlzLXN1ZmZlcmluZy1hLWdyaW0td2F2ZS1vZi1nYW5nLXZpb2xlbmNl0gEA?oc=5
Sweden,"Detroit Red Wings arrive in Stockholm, Sweden, for NHL Global Series - Detroit Free Press","Sun, 12 Nov 2023 20:25:41 GMT",https://news.google.com/rss/articles/CBMiiwFodHRwczovL3d3dy5mcmVlcC5jb20vc3Rvcnkvc3BvcnRzL25obC9yZWQtd2luZ3MvMjAyMy8xMS8xMi9kZXRyb2l0LXJlZC13aW5ncy1hcnJpdmUtaW4tc3RvY2tob2xtLXN3ZWRlbi1mb3ItbmhsLWdsb2JhbC1zZXJpZXMvNzE1NTg4NDIwMDcv0gEA?oc=5
Sweden,Europe's Coolest Beer Scene Is in This Scandinavian Second City - The Daily Beast,"Sun, 12 Nov 2023 03:40:00 GMT",https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3LnRoZWRhaWx5YmVhc3QuY29tL2V1cm9wZXMtY29vbGVzdC1iZWVyLXNjZW5lLWlzLWluLWdvdGhlbmJ1cmctc3dlZGVucy1zZWNvbmQtY2l0edIBAA?oc=5
Sweden,Sweden's Crown Princess privately visited synagogue as solidarity with Jewish community - The Jerusalem Post,"Mon, 13 Nov 2023 18:22:00 GMT",https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3Lmpwb3N0LmNvbS9pbnRlcm5hdGlvbmFsL2FydGljbGUtNzczMDkx0gEA?oc=5
Sweden,"Swedish property group SBB's losses widen, ready to take bondholder to court - Reuters.com","Mon, 13 Nov 2023 14:17:08 GMT",https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2J1c2luZXNzL3N3ZWRlbnMtc2JiLXBvc3RzLWJpZ2dlci1xMy1sb3NzLTIwMjMtMTEtMTMv0gEA?oc=5
Sweden,How I learned to make and sleep in a Swedish snowhole – at minus 30C - The Guardian,"Sat, 11 Nov 2023 11:00:00 GMT",https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS90cmF2ZWwvMjAyMy9ub3YvMTEvaG93LWktbGVhcm5lZC10by1tYWtlLWFuZC1zbGVlcC1pbi1hLXN3ZWRpc2gtc25vd2hvbGUtYXQtbWludXMtMzBj0gFxaHR0cHM6Ly9hbXAudGhlZ3VhcmRpYW4uY29tL3RyYXZlbC8yMDIzL25vdi8xMS9ob3ctaS1sZWFybmVkLXRvLW1ha2UtYW5kLXNsZWVwLWluLWEtc3dlZGlzaC1zbm93aG9sZS1hdC1taW51cy0zMGM?oc=5
Sweden,Maple Leafs Roster Unchanged for Sweden - Pension Plan Puppets,"Mon, 13 Nov 2023 19:19:35 GMT",https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vd3d3LnBlbnNpb25wbGFucHVwcGV0cy5jb20vbWFwbGUtbGVhZnMtcm9zdGVyLXVuY2hhbmdlZC1mb3Itc3dlZGVuL9IBAA?oc=5
Sweden,Wild call up goalie Jesper Wallstedt ahead of trip to Sweden - Sports Illustrated,"Mon, 13 Nov 2023 17:50:55 GMT",https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LnNpLmNvbS9mYW5uYXRpb24vYnJpbmdtZXRoZXNwb3J0cy93aWxkL3dpbGQtY2FsbC11cC1nb2FsaWUtamVzcGVyLXdhbGxzdGVkdC1haGVhZC1vZi10cmlwLXRvLXN3ZWRlbtIBAA?oc=5
Sweden,Sweden's Noren heads into Bermuda weekend with two stroke lead - Yahoo Sports,"Fri, 10 Nov 2023 22:24:12 GMT",https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vc3BvcnRzLnlhaG9vLmNvbS9zd2VkZW5zLW5vcmVuLWhlYWRzLWJlcm11ZGEtd2Vla2VuZC0yMjI0MTI0OTQuaHRtbNIBAA?oc=5
Sweden,"Tesla faces strikes, is 'refusing to comply with the rules of the game here in Sweden' - Autoblog","Fri, 10 Nov 2023 18:30:00 GMT",https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3LmF1dG9ibG9nLmNvbS8yMDIzLzExLzEwL3Rlc2xhLWZhY2VzLXN0cmlrZXMtaXMtcmVmdXNpbmctdG8tY29tcGx5LXdpdGgtdGhlLXJ1bGVzLW9mLXRoZS1nYW1lLWhlcmUtaW4tc3dlZGVuL9IBfGh0dHBzOi8vd3d3LmF1dG9ibG9nLmNvbS9hbXAvMjAyMy8xMS8xMC90ZXNsYS1mYWNlcy1zdHJpa2VzLWlzLXJlZnVzaW5nLXRvLWNvbXBseS13aXRoLXRoZS1ydWxlcy1vZi10aGUtZ2FtZS1oZXJlLWluLXN3ZWRlbi8?oc=5
Sweden,Senators have energetic 1st practice in Sweden for Global Series - NHL.com,"Mon, 13 Nov 2023 17:25:21 GMT",https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3Lm5obC5jb20vbmV3cy90b3BpYy9uaGwtZ2xvYmFsLXNlcmllcy9zZW5hdG9ycy1oYXZlLWVuZXJnZXRpYy0xc3QtcHJhY3RpY2UtaW4tc3dlZGVuLWZvci1nbG9iYWwtc2VyaWVz0gEA?oc=5
Sweden,Red Wings balancing business with pleasure in Sweden - MLive.com,"Mon, 13 Nov 2023 11:01:00 GMT",https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3Lm1saXZlLmNvbS9yZWR3aW5ncy8yMDIzLzExL3JlZC13aW5ncy1iYWxhbmNpbmctYnVzaW5lc3Mtd2l0aC1wbGVhc3VyZS1pbi1zd2VkZW4uaHRtbNIBb2h0dHBzOi8vd3d3Lm1saXZlLmNvbS9yZWR3aW5ncy8yMDIzLzExL3JlZC13aW5ncy1iYWxhbmNpbmctYnVzaW5lc3Mtd2l0aC1wbGVhc3VyZS1pbi1zd2VkZW4uaHRtbD9vdXRwdXRUeXBlPWFtcA?oc=5
Sweden,American dad in Sweden shares differences in schools - Insider,"Fri, 10 Nov 2023 12:19:00 GMT",https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3Lmluc2lkZXIuY29tL2FtZXJpY2FuLWRhZC1pbi1zd2VkZW4tc2hhcmVzLWRpZmZlcmVuY2VzLWluLXNjaG9vbHMtMjAyMy0xMdIBWGh0dHBzOi8vd3d3Lmluc2lkZXIuY29tL2FtZXJpY2FuLWRhZC1pbi1zd2VkZW4tc2hhcmVzLWRpZmZlcmVuY2VzLWluLXNjaG9vbHMtMjAyMy0xMT9hbXA?oc=5
Sweden,"Sweden says some of its citizens have left Gaza, more to leave - Reuters","Mon, 13 Nov 2023 17:47:52 GMT",https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL21pZGRsZS1lYXN0L3N3ZWRlbi1zYXlzLXNvbWUtaXRzLWNpdGl6ZW5zLWhhdmUtbGVmdC1nYXphLW1vcmUtbGVhdmUtMjAyMy0xMS0xMy_SAQA?oc=5
Sweden,Sweden and Finland Have Negotiated Bilateral Defense ... - High North News,"Mon, 13 Nov 2023 14:22:02 GMT",https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LmhpZ2hub3J0aG5ld3MuY29tL2VuL3N3ZWRlbi1hbmQtZmlubGFuZC1oYXZlLW5lZ290aWF0ZWQtYmlsYXRlcmFsLWRlZmVuc2UtYWdyZWVtZW50cy11c2HSAQA?oc=5
Sweden,Tesla Facing Strikes in Sweden Over Collective Bargaining - Transport Topics,"Mon, 13 Nov 2023 20:28:00 GMT",https://news.google.com/rss/articles/CBMiNGh0dHBzOi8vd3d3LnR0bmV3cy5jb20vYXJ0aWNsZXMvdGVzbGEtc3RyaWtlcy1zd2VkZW7SAQA?oc=5
Sweden,"NATO Secretary General discusses Sweden's accession, support to ... - NATO HQ","Wed, 08 Nov 2023 20:21:46 GMT",https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3Lm5hdG8uaW50L2Nwcy9lbi9uYXRvaHEvbmV3c18yMTk3ODQuaHRt0gEA?oc=5
Sweden,Heated bay off Sweden's coast potentially shows how ecosystems are affected by future global warming - Phys.org,"Mon, 13 Nov 2023 21:03:50 GMT",https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vcGh5cy5vcmcvbmV3cy8yMDIzLTExLWJheS1zd2VkZW4tY29hc3QtcG90ZW50aWFsbHktZWNvc3lzdGVtcy5odG1s0gFJaHR0cHM6Ly9waHlzLm9yZy9uZXdzLzIwMjMtMTEtYmF5LXN3ZWRlbi1jb2FzdC1wb3RlbnRpYWxseS1lY29zeXN0ZW1zLmFtcA?oc=5
Sweden,ADS-TEC installs 20MW battery storage in Sweden - Energy-Storage.news,"Mon, 13 Nov 2023 11:24:35 GMT",https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vd3d3LmVuZXJneS1zdG9yYWdlLm5ld3MvYWRzLXRlYy1pbnN0YWxscy0yMG13LWJlc3MtaW4tc3dlZGVuL9IBAA?oc=5
Sweden,Sweden’s schools minister declares free school ‘system failure’ - The Guardian,"Fri, 10 Nov 2023 19:37:00 GMT",https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS93b3JsZC8yMDIzL25vdi8xMC9zd2VkZW5zLXNjaG9vbHMtbWluaXN0ZXItZGVjbGFyZXMtZnJlZS1zY2hvb2wtc3lzdGVtLWZhaWx1cmXSAWpodHRwczovL2FtcC50aGVndWFyZGlhbi5jb20vd29ybGQvMjAyMy9ub3YvMTAvc3dlZGVucy1zY2hvb2xzLW1pbmlzdGVyLWRlY2xhcmVzLWZyZWUtc2Nob29sLXN5c3RlbS1mYWlsdXJl?oc=5
Sweden,Sweden commits to future fighter procurement decision in 2031: Official - Breaking Defense,"Tue, 07 Nov 2023 19:30:41 GMT",https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vYnJlYWtpbmdkZWZlbnNlLmNvbS8yMDIzLzExL3N3ZWRlbi1jb21taXRzLXRvLWZ1dHVyZS1maWdodGVyLXByb2N1cmVtZW50LWRlY2lzaW9uLWluLTIwMzEv0gFoaHR0cHM6Ly9icmVha2luZ2RlZmVuc2UuY29tLzIwMjMvMTEvc3dlZGVuLWNvbW1pdHMtdG8tZnV0dXJlLWZpZ2h0ZXItcHJvY3VyZW1lbnQtZGVjaXNpb24taW4tMjAzMS8_YW1wPTE?oc=5
Sweden,Saab Continues to Provide Aerial Firefighting Capability for Sweden ... - AerialFire Magazine,"Mon, 13 Nov 2023 15:51:29 GMT",https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vYWVyaWFsZmlyZW1hZy5jb20vMjAyMy8xMS8xMy9zYWFiLWNvbnRpbnVlcy10by1wcm92aWRlLWFlcmlhbC1maXJlZmlnaHRpbmctY2FwYWJpbGl0eS1mb3Itc3dlZGVuL9IBAA?oc=5
Sweden,Sweden in NATO: How NATO Membership Could Change ... - The Arctic Institute,"Tue, 31 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LnRoZWFyY3RpY2luc3RpdHV0ZS5vcmcvc3dlZGVuLW5hdG8tbmF0by1tZW1iZXJzaGlwLWNoYW5nZS1zdG9ja2hvbG1zLXN0cmF0ZWdpYy1wb3N0dXJpbmcv0gEA?oc=5
Sweden,Kirill Kaprizov’s health suddenly a concern as sinking Wild head to Sweden - The Athletic,"Mon, 13 Nov 2023 20:51:30 GMT",https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vdGhlYXRobGV0aWMuY29tLzUwNjA3MDkvMjAyMy8xMS8xMy93aWxkLWtpcmlsbC1rYXByaXpvdi1oZWFsdGgtc3dlZGVuL9IBVGh0dHBzOi8vdGhlYXRobGV0aWMuY29tLzUwNjA3MDkvMjAyMy8xMS8xMy93aWxkLWtpcmlsbC1rYXByaXpvdi1oZWFsdGgtc3dlZGVuLz9hbXA9MQ?oc=5
Sweden,Secretary General welcomes latest steps towards Sweden's NATO ... - NATO HQ,"Tue, 24 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3Lm5hdG8uaW50L2Nwcy9lbi9uYXRvaHEvbmV3c18yMTk1MjYuaHRt0gEA?oc=5
Sweden,"Sweden must move forward with digital currency, central banker says - Nasdaq","Mon, 13 Nov 2023 12:01:00 GMT",https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvc3dlZGVuLW11c3QtbW92ZS1mb3J3YXJkLXdpdGgtZGlnaXRhbC1jdXJyZW5jeS1jZW50cmFsLWJhbmtlci1zYXlz0gEA?oc=5
Sweden,Sweden's SBB posts bigger Q3 loss - Nasdaq,"Mon, 13 Nov 2023 07:07:00 GMT",https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvc3dlZGVucy1zYmItcG9zdHMtYmlnZ2VyLXEzLWxvc3PSAQA?oc=5
Sweden,Demonstrators in Sweden rally in support of Palestinians - Anadolu Agency,"Sun, 12 Nov 2023 16:34:06 GMT",https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3LmFhLmNvbS50ci9lbi9ldXJvcGUvZGVtb25zdHJhdG9ycy1pbi1zd2VkZW4tcmFsbHktaW4tc3VwcG9ydC1vZi1wYWxlc3RpbmlhbnMtLzMwNTE4NzTSAQA?oc=5
Sweden,Sweden or Switzerland: Recent survey found 50% couldn't differentiate between the European countries - KABC-TV,"Tue, 07 Nov 2023 13:24:16 GMT",https://news.google.com/rss/articles/CBMiPGh0dHBzOi8vYWJjNy5jb20vc3dlZGVuLXN3aXR6ZXJsYW5kLXdoZXJlLWlzLXZpc2l0LzE0MDIxMjU3L9IBQGh0dHBzOi8vYWJjNy5jb20vYW1wL3N3ZWRlbi1zd2l0emVybGFuZC13aGVyZS1pcy12aXNpdC8xNDAyMTI1Ny8?oc=5
Sweden,Sweden Gazettes Law Amending Tax Procedures Act - Bloomberg Tax,"Mon, 13 Nov 2023 21:36:49 GMT",https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vbmV3cy5ibG9vbWJlcmd0YXguY29tL2RhaWx5LXRheC1yZXBvcnQvc3dlZGVuLWdhemV0dGVzLWxhdy1hbWVuZGluZy10YXgtcHJvY2VkdXJlcy1hY3TSAQA?oc=5
Sweden,Wild recall Daemon Hunt from Iowa for Sweden trip - The Hockey News,"Mon, 13 Nov 2023 21:20:48 GMT",https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vdGhlaG9ja2V5bmV3cy5jb20vbmhsL21pbm5lc290YS13aWxkL25ld3Mvd2lsZC1yZWNhbGwtZGFlbW9uLWh1bnQtZnJvbS1pb3dhLWZvci1zd2VkZW4tdHJpcNIBAA?oc=5
