Country Name,Title,Pub Date,DescriptionLink
Switzerland,The world's best and brightest are flocking to these countries - CNBC,"Mon, 13 Nov 2023 02:28:00 GMT",https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjMvMTEvMTMvdGhlLXdvcmxkcy1iZXN0LWFuZC1icmlnaHRlc3QtYXJlLWZsb2NraW5nLXRvLXRoZXNlLWNvdW50cmllcy5odG1s0gFmaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjMvMTEvMTMvdGhlLXdvcmxkcy1iZXN0LWFuZC1icmlnaHRlc3QtYXJlLWZsb2NraW5nLXRvLXRoZXNlLWNvdW50cmllcy5odG1s?oc=5
Switzerland,"Best Times to Visit Switzerland, According to Local Experts - Travel + Leisure","Mon, 13 Nov 2023 21:47:49 GMT",https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vd3d3LnRyYXZlbGFuZGxlaXN1cmUuY29tL2Jlc3QtdGltZS10by12aXNpdC1zd2l0emVybGFuZC04NDAxMzI10gEA?oc=5
Switzerland,Mountain Collapse In Switzerland. - Daily Kos,"Fri, 10 Nov 2023 16:59:56 GMT",https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vd3d3LmRhaWx5a29zLmNvbS9zdG9yaWVzLzIwMjMvMTEvMTAvMjIwNDkxMS8tTW91bnRhaW4tQ29sbGFwc2UtSW4tU3dpdHplcmxhbmTSAQA?oc=5
Switzerland,First Ever Cross-Border FIS Alpine Race from Switzerland to Italy Sees Both Events Canceled - SnowBrains,"Sun, 12 Nov 2023 09:38:25 GMT",https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vc25vd2JyYWlucy5jb20vZmlyc3QtZXZlci1jcm9zcy1ib3JkZXItZmlzLWFscGluZS1yYWNlLWZyb20tc3dpdHplcmxhbmQtdG8taXRhbHktY2FuY2VsZWQv0gEA?oc=5
Switzerland,Controversial German rapper Farid Bang sparks outrage in Switzerland by featuring Aston Villa star Alisha Lehm - Daily Mail,"Sat, 11 Nov 2023 14:06:35 GMT",https://news.google.com/rss/articles/CBMiuwFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvc3BvcnQvZm9vdGJhbGwvYXJ0aWNsZS0xMjczNzU0My9Db250cm92ZXJzaWFsLUdlcm1hbi1yYXBwZXItRmFyaWQtQmFuZy1zcGFya3Mtb3V0cmFnZS1Td2l0emVybGFuZC1mZWF0dXJpbmctQXN0b24tVmlsbGEtc3Rhci1BbGlzaGEtTGVobWFubi1leHBsaWNpdC1seXJpYy5odG1s0gG_AWh0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9zcG9ydC9mb290YmFsbC9hcnRpY2xlLTEyNzM3NTQzL2FtcC9Db250cm92ZXJzaWFsLUdlcm1hbi1yYXBwZXItRmFyaWQtQmFuZy1zcGFya3Mtb3V0cmFnZS1Td2l0emVybGFuZC1mZWF0dXJpbmctQXN0b24tVmlsbGEtc3Rhci1BbGlzaGEtTGVobWFubi1leHBsaWNpdC1seXJpYy5odG1s?oc=5
Switzerland,Portuguese emigrants recover one million euros in Switzerland - The Portugal News,"Sun, 12 Nov 2023 16:03:34 GMT",https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LnRoZXBvcnR1Z2FsbmV3cy5jb20vbmV3cy8yMDIzLTExLTEyL3BvcnR1Z3Vlc2UtZW1pZ3JhbnRzLXJlY292ZXItb25lLW1pbGxpb24tZXVyb3MtaW4tc3dpdHplcmxhbmQvODMxNzTSAQA?oc=5
Switzerland,"Preview: Israel vs. Switzerland - prediction, team news, lineups - Sports Mole","Mon, 13 Nov 2023 16:18:11 GMT",https://news.google.com/rss/articles/CBMihQFodHRwczovL3d3dy5zcG9ydHNtb2xlLmNvLnVrL2Zvb3RiYWxsL2lzcmFlbC9ldXJvLTIwMjQvcHJldmlldy9wcmV2aWV3LWlzcmFlbC12cy1zd2l0emVybGFuZC1wcmVkaWN0aW9uLXRlYW0tbmV3cy1saW5ldXBzXzUyODkzNi5odG1s0gEA?oc=5
Switzerland,Planning a Ski Vacation in Switzerland's Crans-Montana - Travel + Leisure,"Sat, 11 Nov 2023 12:00:00 GMT",https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3LnRyYXZlbGFuZGxlaXN1cmUuY29tL2NyYW5zLW1vbnRhbmEtc3dpdHplcmxhbmQtc2tpLXZhY2F0aW9uLTgzODMxOTLSAQA?oc=5
Switzerland,"In This Country, Most People Rent for Life. Is That Really What They Want? - The New York Times","Mon, 06 Nov 2023 10:00:22 GMT",https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMTEvMDYvcmVhbGVzdGF0ZS96dXJpY2gtc3dpdHplcmxhbmQtcmVudGluZy1ob21lcy5odG1s0gEA?oc=5
Switzerland,Swiss village of Aarwangen in ding-dong over challenge to cowbells - BBC.com,"Thu, 02 Nov 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiLmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC1ldXJvcGUtNjcyOTY0MTPSATJodHRwczovL3d3dy5iYmMuY29tL25ld3Mvd29ybGQtZXVyb3BlLTY3Mjk2NDEzLmFtcA?oc=5
Switzerland,College Station mermaid trains for 2024 Merlympics in Switzerland - KBTX,"Mon, 13 Nov 2023 22:12:00 GMT",https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmtidHguY29tLzIwMjMvMTEvMTMvY29sbGVnZS1zdGF0aW9uLW1lcm1haWQtdHJhaW5zLTIwMjQtbWVybHltcGljcy1zd2l0emVybGFuZC_SAQA?oc=5
Switzerland,"Once a hydrogen vehicle pioneer, Switzerland lags in the green fuel ... - SWI swissinfo.ch in English","Mon, 13 Nov 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3LnN3aXNzaW5mby5jaC9lbmcvc2NpLXRlY2gvb25jZS1hLWh5ZHJvZ2VuLXZlaGljbGUtcGlvbmVlci0tc3dpdHplcmxhbmQtbGFncy1pbi10aGUtZ3JlZW4tZnVlbC1yYWNlLzQ4OTY4NjY40gEA?oc=5
Switzerland,IAEA Concludes International Physical Protection Advisory Follow ... - International Atomic Energy Agency,"Fri, 10 Nov 2023 13:38:21 GMT",https://news.google.com/rss/articles/CBMiiAFodHRwczovL3d3dy5pYWVhLm9yZy9uZXdzY2VudGVyL3ByZXNzcmVsZWFzZXMvaWFlYS1jb25jbHVkZXMtaW50ZXJuYXRpb25hbC1waHlzaWNhbC1wcm90ZWN0aW9uLWFkdmlzb3J5LWZvbGxvdy11cC1taXNzaW9uLWluLXN3aXR6ZXJsYW5k0gEA?oc=5
Switzerland,"Germany, Switzerland: Adverse weather forecast across much of ... - Crisis24","Mon, 13 Nov 2023 11:16:00 GMT",https://news.google.com/rss/articles/CBMijAFodHRwczovL2NyaXNpczI0LmdhcmRhLmNvbS9hbGVydHMvMjAyMy8xMS9nZXJtYW55LXN3aXR6ZXJsYW5kLWFkdmVyc2Utd2VhdGhlci1mb3JlY2FzdC1hY3Jvc3MtbXVjaC1vZi1ib3RoLWNvdW50cmllcy10aHJvdWdoLWF0LWxlYXN0LW5vdi0xNdIBAA?oc=5
