Country Name,Title,Pub Date,DescriptionLink
United Kingdom,"David Cameron, former PM and now Britain's new foreign minister - Reuters UK","Mon, 13 Nov 2023 10:44:00 GMT",https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL3VrL2RhdmlkLWNhbWVyb24tZm9ybWVyLXBtLW5vdy1icml0YWlucy1uZXctZm9yZWlnbi1taW5pc3Rlci0yMDIzLTExLTEzL9IBAA?oc=5
United Kingdom,UK infant Indi Gregory dies amid legal battle with British government over treatment options - Fox News,"Mon, 13 Nov 2023 10:46:00 GMT",https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3LmZveG5ld3MuY29tL3dvcmxkL3VrLWluZmFudC1pbmRpLWdyZWdvcnktZGllcy1sZWdhbC1iYXR0bGUtYnJpdGlzaC1nb3Zlcm5tZW50LXRyZWF0bWVudC1vcHRpb25z0gFvaHR0cHM6Ly93d3cuZm94bmV3cy5jb20vd29ybGQvdWstaW5mYW50LWluZGktZ3JlZ29yeS1kaWVzLWxlZ2FsLWJhdHRsZS1icml0aXNoLWdvdmVybm1lbnQtdHJlYXRtZW50LW9wdGlvbnMuYW1w?oc=5
United Kingdom,Rishi Sunak Rearranges the Deck Chairs - WSJ - The Wall Street Journal,"Mon, 13 Nov 2023 23:42:00 GMT",https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3Lndzai5jb20vYXJ0aWNsZXMvcmlzaGktc3VuYWstY2FiaW5ldC1kYXZpZC1jYW1lcm9uLXN1ZWxsYS1icmF2ZXJtYW4tdW5pdGVkLWtpbmdkb20tZmVjZTYxNzXSAQA?oc=5
United Kingdom,UK PM Sunak appoints Victoria Atkins as new health minister - Reuters UK,"Mon, 13 Nov 2023 14:42:00 GMT",https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL3VrL3VrLXBtLXN1bmFrLWFwcG9pbnRzLXZpY3RvcmlhLWF0a2lucy1uZXctaGVhbHRoLW1pbmlzdGVyLTIwMjMtMTEtMTMv0gEA?oc=5
United Kingdom,Storm Debi: Weather warnings as storm disrupts power and travel - BBC.com,"Mon, 13 Nov 2023 18:55:15 GMT",https://news.google.com/rss/articles/CBMiJGh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy91ay02NzM5NjY4OdIBKGh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy91ay02NzM5NjY4OS5hbXA?oc=5
United Kingdom,UK's Rishi Sunak fires Suella Braverman after row with police over pro-Palestinian marches - POLITICO Europe,"Mon, 13 Nov 2023 08:44:00 GMT",https://news.google.com/rss/articles/CBMieWh0dHBzOi8vd3d3LnBvbGl0aWNvLmV1L2FydGljbGUvcmlzaGktc3VuYWstZmlyZXMtc3VlbGxhLWJyYXZlcm1hbi1yb3ctcG9saWNlLW92ZXItcHJvLXBhbGVzdGluZS1wcm90ZXN0LWlzcmFlbC1jb25mbGljdC_SAQA?oc=5
United Kingdom,Britain's 'unbearable' sewerage problem is a warning against privatisation in Australia - ABC News,"Mon, 13 Nov 2023 18:00:00 GMT",https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmFiYy5uZXQuYXUvbmV3cy8yMDIzLTExLTE0L3ByaXZhdGlzYXRpb24tcHVibGljLWFzc2V0cy13YXRlci1zZXdhZ2UtdHJhbnNwb3J0LWZhaXItc29jaWV0eS8xMDMwOTc0NDjSAShodHRwczovL2FtcC5hYmMubmV0LmF1L2FydGljbGUvMTAzMDk3NDQ4?oc=5
United Kingdom,UK house asking prices in largest November fall since 2018; Opec insists oil market still strong – as it happened - The Guardian,"Mon, 13 Nov 2023 07:34:00 GMT",https://news.google.com/rss/articles/CBMihQFodHRwczovL3d3dy50aGVndWFyZGlhbi5jb20vYnVzaW5lc3MvbGl2ZS8yMDIzL25vdi8xMy91ay1ob3VzZS1hc2tpbmctcHJpY2VzLWZhbGwtZWNvbm9teS1ncm93dGgtc2xvd2Rvd24tc3RvY2stbWFya2V0cy1idXNpbmVzcy1saXZl0gGFAWh0dHBzOi8vYW1wLnRoZWd1YXJkaWFuLmNvbS9idXNpbmVzcy9saXZlLzIwMjMvbm92LzEzL3VrLWhvdXNlLWFza2luZy1wcmljZXMtZmFsbC1lY29ub215LWdyb3d0aC1zbG93ZG93bi1zdG9jay1tYXJrZXRzLWJ1c2luZXNzLWxpdmU?oc=5
United Kingdom,India-UK FTA: Jaishankar hopes the two sides will find 'landing point' which will work for both | Mint - Mint,"Mon, 13 Nov 2023 20:01:46 GMT",https://news.google.com/rss/articles/CBMikwFodHRwczovL3d3dy5saXZlbWludC5jb20vbmV3cy9pbmRpYS9pbmRpYXVrLWZ0YS1qYWlzaGFua2FyLWhvcGVzLXRoZS10d28tc2lkZXMtd2lsbC1maW5kLWxhbmRpbmctcG9pbnQtd2hpY2gtd2lsbC13b3JrLWZvci1ib3RoLTExNjk5OTA0MTk3NjQyLmh0bWzSAZcBaHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL25ld3MvaW5kaWEvaW5kaWF1ay1mdGEtamFpc2hhbmthci1ob3Blcy10aGUtdHdvLXNpZGVzLXdpbGwtZmluZC1sYW5kaW5nLXBvaW50LXdoaWNoLXdpbGwtd29yay1mb3ItYm90aC9hbXAtMTE2OTk5MDQxOTc2NDIuaHRtbA?oc=5
United Kingdom,"United Kingdom sends winter clothing, kit to Ukrainian military - Ukrinform","Mon, 13 Nov 2023 13:53:00 GMT",https://news.google.com/rss/articles/CBMidGh0dHBzOi8vd3d3LnVrcmluZm9ybS5uZXQvcnVicmljLWRlZmVuc2UvMzc4NjMwMi11bml0ZWQta2luZ2RvbS1zZW5kcy13aW50ZXItY2xvdGhpbmcta2l0LXRvLXVrcmFpbmlhbi1taWxpdGFyeS5odG1s0gF4aHR0cHM6Ly93d3cudWtyaW5mb3JtLm5ldC9hbXAvcnVicmljLWRlZmVuc2UvMzc4NjMwMi11bml0ZWQta2luZ2RvbS1zZW5kcy13aW50ZXItY2xvdGhpbmcta2l0LXRvLXVrcmFpbmlhbi1taWxpdGFyeS5odG1s?oc=5
