Country Name,Title,Pub Date,DescriptionLink
United States,How bad is food waste in the US? New study reveals problem and what you can do. - USA TODAY,"Tue, 14 Nov 2023 02:04:48 GMT",https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS9uZXdzL25hdGlvbi8yMDIzLzExLzEzL2Zvb2Qtd2FzdGUtdW5pdGVkLXN0YXRlcy1jbGltYXRlLWNoYW5nZS83MTUzNzI1NjAwNy_SAQA?oc=5
United States,US launches 3rd strikes on Iran-linked groups amid attacks on American soldiers: Officials - ABC News,"Mon, 13 Nov 2023 09:45:00 GMT",https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vYWJjbmV3cy5nby5jb20vSW50ZXJuYXRpb25hbC91cy1sYXVuY2hlcy0zcmQtc3RyaWtlcy1pcmFuLWJhY2tlZC1ncm91cHMtYW1pZC9zdG9yeT9pZD0xMDQ4MzQzMzDSAWtodHRwczovL2FiY25ld3MuZ28uY29tL2FtcC9JbnRlcm5hdGlvbmFsL3VzLWxhdW5jaGVzLTNyZC1zdHJpa2VzLWlyYW4tYmFja2VkLWdyb3Vwcy1hbWlkL3N0b3J5P2lkPTEwNDgzNDMzMA?oc=5
United States,"Moody's cuts U.S. outlook to negative, citing deficits and political polarization - CNBC","Fri, 10 Nov 2023 21:44:16 GMT",https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjMvMTEvMTAvbW9vZHlzLWN1dHMtdXNhLW91dGxvb2stdG8tbmVnYXRpdmUtY2l0aW5nLWhpZ2hlci1pbnRlcmVzdC1yYXRlcy1hbmQtZGVmaWNpdHMuaHRtbNIBdmh0dHBzOi8vd3d3LmNuYmMuY29tL2FtcC8yMDIzLzExLzEwL21vb2R5cy1jdXRzLXVzYS1vdXRsb29rLXRvLW5lZ2F0aXZlLWNpdGluZy1oaWdoZXItaW50ZXJlc3QtcmF0ZXMtYW5kLWRlZmljaXRzLmh0bWw?oc=5
United States,International students surge at U.S. colleges with record numbers from India - The Washington Post,"Mon, 13 Nov 2023 08:05:00 GMT",https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9lZHVjYXRpb24vMjAyMy8xMS8xMy91cy1jb2xsZWdlcy1pbnRlcm5hdGlvbmFsLXN0dWRlbnRzLWluY3JlYXNlLXBvc3QtcGFuZGVtaWMv0gEA?oc=5
United States,"Six years on from cake at Mar-a-Lago, China’s Xi returns to a much warier US - CNN","Mon, 13 Nov 2023 01:42:00 GMT",https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8xMS8xMy9hc2lhL2NoaW5hLXVzLXhpLXZpc2l0LWhpc3RvcnktaW50bC1obmsvaW5kZXguaHRtbNIBVWh0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjMvMTEvMTMvYXNpYS9jaGluYS11cy14aS12aXNpdC1oaXN0b3J5LWludGwtaG5rL2luZGV4Lmh0bWw?oc=5
United States,"U.S., China rivalry over landing people on the moon has NASA worried - The Washington Post","Mon, 13 Nov 2023 14:00:00 GMT",https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS90ZWNobm9sb2d5LzIwMjMvMTEvMTMvY2hpbmEtbmFzYS1tb29uLWxhbmRpbmctZmlyc3Qv0gEA?oc=5
United States,U.S.-China relations are now more about crisis prevention - CNBC,"Mon, 13 Nov 2023 23:46:06 GMT",https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjMvMTEvMTQvdXMtY2hpbmEtcmVsYXRpb25zLWFyZS1ub3ctbW9yZS1hYm91dC1jcmlzaXMtcHJldmVudGlvbi5odG1s0gFgaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjMvMTEvMTQvdXMtY2hpbmEtcmVsYXRpb25zLWFyZS1ub3ctbW9yZS1hYm91dC1jcmlzaXMtcHJldmVudGlvbi5odG1s?oc=5
United States,"Yoon warns South Korea, United States must be ready for 'Hamas-style' surprise attack from North Korea - Fox News","Sun, 12 Nov 2023 18:21:06 GMT",https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3LmZveG5ld3MuY29tL3BvbGl0aWNzL3lvb24td2FybnMtc291dGgta29yZWEtdW5pdGVkLXN0YXRlcy1tdXN0LWJlLXJlYWR5LWhhbWFzLXN0eWxlLXN1cnByaXNlLWF0dGFjay1ub3J0aC1rb3JlYdIBf2h0dHBzOi8vd3d3LmZveG5ld3MuY29tL3BvbGl0aWNzL3lvb24td2FybnMtc291dGgta29yZWEtdW5pdGVkLXN0YXRlcy1tdXN0LWJlLXJlYWR5LWhhbWFzLXN0eWxlLXN1cnByaXNlLWF0dGFjay1ub3J0aC1rb3JlYS5hbXA?oc=5
United States,"United States Announced as Leading Destination for International Students, Annual Impact to U.S. Economy is $38 ... - Department of State","Mon, 13 Nov 2023 13:12:13 GMT",https://news.google.com/rss/articles/CBMimwFodHRwczovL3d3dy5zdGF0ZS5nb3YvdW5pdGVkLXN0YXRlcy1hbm5vdW5jZWQtYXMtbGVhZGluZy1kZXN0aW5hdGlvbi1mb3ItaW50ZXJuYXRpb25hbC1zdHVkZW50cy1hbm51YWwtaW1wYWN0LXRvLXUtcy1lY29ub215LWlzLTM4LWJpbGxpb24tYW5kLTMzNTAwMC1qb2JzL9IBAA?oc=5
United States,"Under fire, US Supreme Court unveils ethics code for justices - Reuters","Mon, 13 Nov 2023 22:25:00 GMT",https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2xlZ2FsL3VzLXN1cHJlbWUtY291cnQtYW5ub3VuY2VzLWZvcm1hbC1ldGhpY3MtY29kZS1qdXN0aWNlcy0yMDIzLTExLTEzL9IBAA?oc=5
