Country Name,Title,Pub Date,DescriptionLink
Sierra Leone,3 People Helping to Grow Tourism in Sierra Leone - AFAR Media,"Mon, 13 Nov 2023 13:07:10 GMT",https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vd3d3LmFmYXIuY29tL21hZ2F6aW5lL3Blb3BsZS1ncm93aW5nLXRvdXJpc20taW4tc2llcnJhLWxlb25l0gFOaHR0cHM6Ly93d3cuYWZhci5jb20vbWFnYXppbmUvcGVvcGxlLWdyb3dpbmctdG91cmlzbS1pbi1zaWVycmEtbGVvbmU_X2FtcD10cnVl?oc=5
Sierra Leone,"Saudi Arabia signs cooperation, political deals with Sierra Leone, Seychelles and Rwanda during Saudi-African Summit - Arab News","Fri, 10 Nov 2023 19:00:25 GMT",https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3LmFyYWJuZXdzLmNvbS9ub2RlLzI0MDY3MTYvc2F1ZGktYXJhYmlh0gEA?oc=5
Sierra Leone,President Bio to slap high taxes on rice – Sierra Leone's staple food and other essential items - Sierra Leone Telegraph,"Sat, 11 Nov 2023 23:14:31 GMT",https://news.google.com/rss/articles/CBMihQFodHRwczovL3d3dy50aGVzaWVycmFsZW9uZXRlbGVncmFwaC5jb20vcHJlc2lkZW50LWJpby10by1zbGFwLWhpZ2gtdGF4ZXMtb24tcmljZS1zaWVycmEtbGVvbmVzLXN0YXBsZS1mb29kLWFuZC1vdGhlci1lc3NlbnRpYWwtaXRlbXMv0gEA?oc=5
Sierra Leone,How Africa's first heat officer is protecting women in Sierra Leone - BBC.com,"Fri, 10 Nov 2023 01:04:53 GMT",https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LmJiYy5jb20vZnV0dXJlL2FydGljbGUvMjAyMzExMDktaG93LWFmcmljYXMtZmlyc3QtaGVhdC1vZmZpY2VyLWlzLXByb3RlY3Rpbmctd29tZW4taW4tc2llcnJhLWxlb25l0gEA?oc=5
Sierra Leone,How Liberia and Sierra Leone ended their cycles of violence - The Economist,"Thu, 19 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3LmVjb25vbWlzdC5jb20vbWlkZGxlLWVhc3QtYW5kLWFmcmljYS8yMDIzLzEwLzE5L2hvdy1saWJlcmlhLWFuZC1zaWVycmEtbGVvbmUtZW5kZWQtdGhlaXItY3ljbGVzLW9mLXZpb2xlbmNl0gEA?oc=5
Sierra Leone,Sierra Leone’s president: Are there good military coups? - Al Jazeera English,"Sat, 21 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMidWh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vcHJvZ3JhbS90YWxrLXRvLWFsLWphemVlcmEvMjAyMy8xMC8yMS9zaWVycmEtbGVvbmVzLXByZXNpZGVudC1hcmUtdGhlcmUtZ29vZC1taWxpdGFyeS1jb3Vwc9IBeWh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vYW1wL3Byb2dyYW0vdGFsay10by1hbC1qYXplZXJhLzIwMjMvMTAvMjEvc2llcnJhLWxlb25lcy1wcmVzaWRlbnQtYXJlLXRoZXJlLWdvb2QtbWlsaXRhcnktY291cHM?oc=5
Sierra Leone,Curtis Davies: International debut for Sierra Leone at 38 to be 'amazing' - BBC.com,"Mon, 16 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiKWh0dHBzOi8vd3d3LmJiYy5jb20vc3BvcnQvYWZyaWNhLzY3MTAxMjQy0gEtaHR0cHM6Ly93d3cuYmJjLmNvbS9zcG9ydC9hZnJpY2EvNjcxMDEyNDIuYW1w?oc=5
Sierra Leone,Salesians in Sierra Leone protecting victims of human trafficking - Vatican News - English,"Fri, 10 Nov 2023 14:41:40 GMT",https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LnZhdGljYW5uZXdzLnZhL2VuL2NodXJjaC9uZXdzLzIwMjMtMTEvc2FsZXNpYW5zLXNpZXJyYS1sZW9uZS1wcm90ZWN0aW5nLXZpY3RpbS1vZi1odW1hLXRyYWZmaWNraW5nLmh0bWzSAQA?oc=5
Sierra Leone,Health Programme Coordinator - Sierra Leone - Sierra Leone - ReliefWeb,"Sat, 11 Nov 2023 00:58:45 GMT",https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vcmVsaWVmd2ViLmludC9qb2IvNDAxMzQ1NC9oZWFsdGgtcHJvZ3JhbW1lLWNvb3JkaW5hdG9yLXNpZXJyYS1sZW9uZdIBAA?oc=5
Sierra Leone,"In Sierra Leone, still no justice for victims of August 2022 violent ... - Amnesty International","Tue, 17 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMijwFodHRwczovL3d3dy5hbW5lc3R5Lm9yZy9lbi9sYXRlc3QvbmV3cy8yMDIzLzEwL3NpZXJyYS1sZW9uZS1zdGlsbC1uby1qdXN0aWNlLWZvci12aWN0aW1zLW9mLWF1Z3VzdC0yMDIyLXZpb2xlbnQtcHJvdGVzdHMtbW9yZS10aGFuLW9uZS15ZWFyLW9uL9IBAA?oc=5
Sierra Leone,Is President planning to change presidential term limit from five to ... - Sierra Leone Telegraph,"Mon, 13 Nov 2023 22:06:14 GMT",https://news.google.com/rss/articles/CBMif2h0dHBzOi8vd3d3LnRoZXNpZXJyYWxlb25ldGVsZWdyYXBoLmNvbS9pcy1wcmVzaWRlbnQtcGxhbm5pbmctdG8tY2hhbmdlLXByZXNpZGVudGlhbC10ZXJtLWxpbWl0LWZyb20tZml2ZS10by1zZXZlbi15ZWFycy1vcC1lZC_SAQA?oc=5
Sierra Leone,Tough Macroeconomic Policies Needed to Stabilize Sierra Leone's ... - World Bank Group,"Fri, 27 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiggFodHRwczovL3d3dy53b3JsZGJhbmsub3JnL2VuL25ld3MvcHJlc3MtcmVsZWFzZS8yMDIzLzEwLzI3L3RvdWdoLW1hY3JvZWNvbm9taWMtcG9saWNpZXMtbmVlZGVkLXRvLXN0YWJpbGl6ZS1zaWVycmEtbGVvbmUtcy1lY29ub2150gEA?oc=5
Sierra Leone,IMF Staff Reaches Staff-Level Agreement with Sierra Leone on the ... - International Monetary Fund,"Mon, 06 Nov 2023 14:44:15 GMT",https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LmltZi5vcmcvZW4vTmV3cy9BcnRpY2xlcy8yMDIzLzExLzA2L3ByMjMzNzktc2llcnJhLWxlb25lLWltZi1zdGFmZi1yZWFjaGVzLXN0YWZmLWxldmVsLWFncmVlbWVudC1laWdodGgtcmV2aWV3LWVjZtIBAA?oc=5
Sierra Leone,"A birth story from Sierra Leone: “Take my baby, mama. I'm going to die” - CARE Stories","Fri, 10 Nov 2023 20:39:20 GMT",https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3LmNhcmUub3JnL25ld3MtYW5kLXN0b3JpZXMvbmV3cy9hLWJpcnRoLXN0b3J5LWZyb20tc2llcnJhLWxlb25lLXRha2UtbXktYmFieS1tYW1hLWltLWdvaW5nLXRvLWRpZS_SAQA?oc=5
Sierra Leone,Sierra Leone Economic Update 2023: Macroeconomic Stability Key ... - World Bank Group,"Fri, 27 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMimQFodHRwczovL3d3dy53b3JsZGJhbmsub3JnL2VuL2NvdW50cnkvc2llcnJhbGVvbmUvcHVibGljYXRpb24vc2llcnJhLWxlb25lLWVjb25vbWljLXVwZGF0ZS0yMDIzLW1hY3JvZWNvbm9taWMtc3RhYmlsaXR5LWtleS10by1hdHRhaW5tZW50LW9mLWZvb2Qtc2VjdXJpdHnSAQA?oc=5
Sierra Leone,Han Zheng Meets with President of Sierra Leone Julius Maada ... - MFA China,"Fri, 22 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vd3d3LmZtcHJjLmdvdi5jbi9tZmFfZW5nL3p4eHhfNjYyODA1LzIwMjMxMC90MjAyMzEwMTZfMTExNjE0NzUuaHRtbNIBAA?oc=5
