Country Name,Title,Pub Date,DescriptionLink
Sri Lanka,"Sri Lanka's 2024 budget sets ambitious revenue, deficit targets - Reuters","Mon, 13 Nov 2023 10:54:00 GMT",https://news.google.com/rss/articles/CBMidWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL21hcmtldHMvYXNpYS9zcmktbGFua2FzLWJ1ZGdldC13aWxsLXN0cml2ZS1yZXR1cm4tZWNvbm9teS1ncm93dGgtbWVldC1pbWYtdGFyZ2V0cy0yMDIzLTExLTEzL9IBAA?oc=5
Sri Lanka,Sri Lanka sports minister says ICC suspension of cricket board illegal - The Associated Press,"Sat, 11 Nov 2023 14:20:00 GMT",https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL3NyaS1sYW5rYS1jcmlja2V0LWljYy1zdXNwZW5zaW9uLTMxN2ViOWE4ZmEzM2M4YWZhZmQyYzM2N2FjYTgyOTg50gEA?oc=5
Sri Lanka,ICC suspends Sri Lanka Cricket’s membership over political interference - Al Jazeera English,"Sat, 11 Nov 2023 07:31:42 GMT",https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vc3BvcnRzLzIwMjMvMTEvMTEvaWNjLXN1c3BlbmRzLXNyaS1sYW5rYS1jcmlja2V0cy1tZW1iZXJzaGlwLW92ZXItcG9saXRpY2FsLWludGVyZmVyZW5jZdIBdmh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vYW1wL3Nwb3J0cy8yMDIzLzExLzExL2ljYy1zdXNwZW5kcy1zcmktbGFua2EtY3JpY2tldHMtbWVtYmVyc2hpcC1vdmVyLXBvbGl0aWNhbC1pbnRlcmZlcmVuY2U?oc=5
Sri Lanka,"Sri Lanka will appeal ICC suspension, sports minister says - Reuters","Sat, 11 Nov 2023 11:49:00 GMT",https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL3Nwb3J0cy9jcmlja2V0L3NyaS1sYW5rYS13aWxsLWFwcGVhbC1pY2Mtc3VzcGVuc2lvbi1zcG9ydHMtbWluaXN0ZXItMjAyMy0xMS0xMS_SAQA?oc=5
Sri Lanka,Sri Lanka Bond Rally May Be Approaching End With IMF Bailout Priced In - Bloomberg,"Tue, 14 Nov 2023 02:22:39 GMT",https://news.google.com/rss/articles/CBMidGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTExLTE0L3NyaS1sYW5rYS1zLWFzaWEtYmVhdGluZy1kb2xsYXItYm9uZC1yYWxseS1tYXktYmUtYXBwcm9hY2hpbmctZW5k0gEA?oc=5
Sri Lanka,Sri Lanka suspended by ICC over ‘government interference’ - The Guardian,"Fri, 10 Nov 2023 19:37:00 GMT",https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9zcG9ydC8yMDIzL25vdi8xMC9zcmktbGFua2Etc3VzcGVuZGVkLWJ5LWljYy1vdmVyLWdvdmVybm1lbnQtaW50ZXJmZXJlbmNl0gFlaHR0cHM6Ly9hbXAudGhlZ3VhcmRpYW4uY29tL3Nwb3J0LzIwMjMvbm92LzEwL3NyaS1sYW5rYS1zdXNwZW5kZWQtYnktaWNjLW92ZXItZ292ZXJubWVudC1pbnRlcmZlcmVuY2U?oc=5
Sri Lanka,Sri Lanka launches 70 MW ground-mounted solar auction - pv magazine International,"Mon, 13 Nov 2023 14:45:38 GMT",https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3LnB2LW1hZ2F6aW5lLmNvbS8yMDIzLzExLzEzL3NyaS1sYW5rYS1sYXVuY2hlcy03MC1tdy1ncm91bmQtbW91bnRlZC1zb2xhci1hdWN0aW9uL9IBAA?oc=5
Sri Lanka,Sri Lanka sports minister says ICC suspension of cricket board illegal - Yahoo News,"Sat, 11 Nov 2023 14:20:20 GMT",https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vbmV3cy55YWhvby5jb20vc3JpLWxhbmthLXNwb3J0cy1taW5pc3Rlci1zYXlzLTE0MjAyMDg0NC5odG1s0gFMaHR0cHM6Ly9uZXdzLnlhaG9vLmNvbS9hbXBodG1sL3NyaS1sYW5rYS1zcG9ydHMtbWluaXN0ZXItc2F5cy0xNDIwMjA4NDQuaHRtbA?oc=5
Sri Lanka,A cautionary tale from Indian Tamils in Ceylon - Hindustan Times,"Sat, 11 Nov 2023 17:23:01 GMT",https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3LmhpbmR1c3RhbnRpbWVzLmNvbS9vcGluaW9uL2EtY2F1dGlvbmFyeS10YWxlLWZyb20taW5kaWFuLXRhbWlscy1pbi1jZXlsb24tMTAxNjk5NzExMjA3MjMwLmh0bWzSAW5odHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vb3Bpbmlvbi9hLWNhdXRpb25hcnktdGFsZS1mcm9tLWluZGlhbi10YW1pbHMtaW4tY2V5bG9uLTEwMTY5OTcxMTIwNzIzMC1hbXAuaHRtbA?oc=5
Sri Lanka,Sri Lanka to Use Budget to Meet Some IMF Pledges as Polls Near - Bloomberg,"Mon, 13 Nov 2023 02:38:23 GMT",https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTExLTEzL3NyaS1sYW5rYS10by11c2UtYnVkZ2V0LXRvLW1lZXQtc29tZS1pbWYtcGxlZGdlcy1hcy1wb2xscy1uZWFy0gEA?oc=5
