country_name,slug,death_rate,date_of_information,ranking,region
"Serbia","serbia","16.39","2022 est.","1","Europe"
"Romania","romania","15.26","2022 est.","2","Europe"
"Lithuania","lithuania","15.12","2022 est.","3","Europe"
"Latvia","latvia","14.65","2022 est.","4","Europe"
"Bulgaria","bulgaria","14.41","2022 est.","5","Europe"
"Ukraine","ukraine","13.77","2022 est.","6","Europe"
"Russia","russia","13.36","2022 est.","7","Central Asia"
"Estonia","estonia","13.10","2022 est.","8","Europe"
"Belarus","belarus","12.88","2022 est.","9","Europe"
"Croatia","croatia","12.88","2022 est.","10","Europe"
"Hungary","hungary","12.88","2022 est.","11","Europe"
"Moldova","moldova","12.47","2022 est.","12","Europe"
"Afghanistan","afghanistan","12.33","2022 est.","13","South Asia"
"Greece","greece","12.04","2022 est.","14","Europe"
"Germany","germany","11.98","2022 est.","15","Europe"
"Central African Republic","central-african-republic","11.76","2022 est.","16","Africa"
"Somalia","somalia","11.62","2022 est.","17","Africa"
"Japan","japan","11.59","2022 est.","18","East and Southeast Asia"
"Peru","peru","11.32","2022 est.","19","South America"
"Italy","italy","11.31","2022 est.","20","Europe"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","11.22","2022 est.","21","North America"
"Lesotho","lesotho","11.05","2022 est.","22","Africa"
"Portugal","portugal","10.90","2022 est.","23","Europe"
"Georgia","georgia","10.80","2022 est.","24","Middle East"
"Czechia","czechia","10.74","2022 est.","25","Europe"
"Poland","poland","10.71","2022 est.","26","Europe"
"Monaco","monaco","10.70","2022 est.","27","Europe"
"Slovenia","slovenia","10.40","2022 est.","28","Europe"
"Finland","finland","10.35","2022 est.","29","Europe"
"Montenegro","montenegro","10.33","2022 est.","30","Europe"
"India","india","10.30","2022 est.","31","South Asia"
"Bosnia and Herzegovina","bosnia-and-herzegovina","10.26","2022 est.","32","Europe"
"Mozambique","mozambique","10.25","2022 est.","33","Africa"
"Spain","spain","10.22","2022 est.","34","Europe"
"Isle of Man","isle-of-man","10.18","2022 est.","35","Europe"
"Slovakia","slovakia","10.13","2022 est.","36","Europe"
"Niger","niger","9.87","2022 est.","37","Africa"
"Austria","austria","9.85","2022 est.","38","Europe"
"Puerto Rico","puerto-rico","9.76","2022 est.","39","Central America and the Caribbean"
"Eswatini","eswatini","9.71","2022 est.","40","Africa"
"Belgium","belgium","9.64","2022 est.","41","Europe"
