country_name,slug,birth_rate,date_of_information,ranking,region
"Niger","niger","47.08","2022 est.","1","Africa"
"Angola","angola","41.80","2022 est.","2","Africa"
"Benin","benin","41.15","2022 est.","3","Africa"
"Mali","mali","41.07","2022 est.","4","Africa"
"Uganda","uganda","40.94","2022 est.","5","Africa"
"Chad","chad","40.45","2022 est.","6","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","40.08","2022 est.","7","Africa"
"Somalia","somalia","37.98","2022 est.","8","Africa"
"South Sudan","south-sudan","37.69","2022 est.","9","Africa"
"Mozambique","mozambique","37.47","2022 est.","10","Africa"
"Liberia","liberia","36.64","2022 est.","11","Africa"
"Guinea-Bissau","guinea-bissau","36.45","2022 est.","12","Africa"
"Guinea","guinea","35.67","2022 est.","13","Africa"
"Cameroon","cameroon","35.53","2022 est.","14","Africa"
"Afghanistan","afghanistan","35.46","2022 est.","15","South Asia"
"Burundi","burundi","35.17","2022 est.","16","Africa"
"Zambia","zambia","34.86","2022 est.","17","Africa"
"Nigeria","nigeria","34.19","2022 est.","18","Africa"
"Burkina Faso","burkina-faso","33.57","2022 est.","19","Africa"
"Sudan","sudan","33.47","2022 est.","20","Africa"
"Tanzania","tanzania","33.30","2022 est.","21","Africa"
"Zimbabwe","zimbabwe","33.07","2022 est.","22","Africa"
"Central African Republic","central-african-republic","32.79","2022 est.","23","Africa"
"Sierra Leone","sierra-leone","32.20","2022 est.","24","Africa"
"Togo","togo","31.86","2022 est.","25","Africa"
"Congo, Republic of the","congo-republic-of-the","31.82","2022 est.","26","Africa"
"Senegal","senegal","31.51","2022 est.","27","Africa"
"Timor-Leste","timor-leste","30.94","2022 est.","28","East and Southeast Asia"
"Ethiopia","ethiopia","30.49","2022 est.","29","Africa"
"Equatorial Guinea","equatorial-guinea","29.95","2022 est.","30","Africa"
"Papua New Guinea","papua-new-guinea","29.03","2022 est.","31","East and Southeast Asia"
"Gambia, The","gambia-the","28.78","2022 est.","32","Africa"
"Madagascar","madagascar","28.68","2022 est.","33","Africa"
"Ghana","ghana","28.55","2022 est.","34","Africa"
"Cote d'Ivoire","cote-divoire","28.30","2022 est.","35","Africa"
"Sao Tome and Principe","sao-tome-and-principe","28.19","2022 est.","36","Africa"
"Mauritania","mauritania","28.06","2022 est.","37","Africa"
"Malawi","malawi","27.94","2022 est.","38","Africa"
"Gaza Strip","gaza-strip","27.67","2022 est.","39","Middle East"
"Eritrea","eritrea","27.04","2022 est.","40","Africa"
"Pakistan","pakistan","26.48","2022 est.","41","South Asia"
"Rwanda","rwanda","26.44","2022 est.","42","Africa"
"Kenya","kenya","26.39","2022 est.","43","Africa"
"Gabon","gabon","26.03","2022 est.","44","Africa"
"Namibia","namibia","25.01","2022 est.","45","Africa"
"Iraq","iraq","24.70","2022 est.","46","Middle East"
"Yemen","yemen","24.64","2022 est.","47","Middle East"
"West Bank","west-bank","24.42","2022 est.","48","Middle East"
"Eswatini","eswatini","23.35","2022 est.","49","Africa"
"Lesotho","lesotho","23.15","2022 est.","50","Africa"
"Syria","syria","22.72","2022 est.","51","Middle East"
"Solomon Islands","solomon-islands","22.71","2022 est.","52","Australia and Oceania"
"Tuvalu","tuvalu","22.70","2022 est.","53","Australia and Oceania"
"Jordan","jordan","22.58","2022 est.","54","Middle East"
"Comoros","comoros","22.52","2022 est.","55","Africa"
"Guatemala","guatemala","22.34","2022 est.","56","Central America and the Caribbean"
"Philippines","philippines","22.28","2022 est.","57","East and Southeast Asia"
"Djibouti","djibouti","22.25","2022 est.","58","Africa"
"Oman","oman","22.11","2022 est.","59","Middle East"
"Marshall Islands","marshall-islands","22.00","2022 est.","60","Australia and Oceania"
"Vanuatu","vanuatu","21.57","2022 est.","61","Australia and Oceania"
"Libya","libya","21.56","2022 est.","62","Africa"
"Egypt","egypt","21.46","2022 est.","63","Africa"
"Belize","belize","21.28","2022 est.","64","Central America and the Caribbean"
"Haiti","haiti","21.12","2022 est.","65","Central America and the Caribbean"
"Nauru","nauru","21.10","2022 est.","66","Australia and Oceania"
"Laos","laos","20.90","2022 est.","67","East and Southeast Asia"
"Tajikistan","tajikistan","20.73","2022 est.","68","Central Asia"
"Tonga","tonga","20.31","2022 est.","69","Australia and Oceania"
"Botswana","botswana","20.28","2022 est.","70","Africa"
"Kiribati","kiribati","20.12","2022 est.","71","Australia and Oceania"
"Kyrgyzstan","kyrgyzstan","19.54","2022 est.","72","Central Asia"
"Cambodia","cambodia","19.29","2022 est.","73","East and Southeast Asia"
"Samoa","samoa","19.21","2022 est.","74","Australia and Oceania"
"Bolivia","bolivia","18.61","2022 est.","75","South America"
"Guam","guam","18.56","2022 est.","76","Australia and Oceania"
"South Africa","south-africa","18.56","2022 est.","77","Africa"
"Algeria","algeria","18.52","2022 est.","78","Africa"
"Cabo Verde","cabo-verde","18.49","2022 est.","79","Africa"
"Micronesia, Federated States of","micronesia-federated-states-of","18.39","2022 est.","80","Australia and Oceania"
"Dominican Republic","dominican-republic","18.03","2022 est.","81","Central America and the Caribbean"
"Panama","panama","17.99","2022 est.","82","Central America and the Caribbean"
"Honduras","honduras","17.92","2022 est.","83","Central America and the Caribbean"
"El Salvador","el-salvador","17.87","2022 est.","84","Central America and the Caribbean"
"Kuwait","kuwait","17.78","2022 est.","85","Middle East"
"Bangladesh","bangladesh","17.69","2022 est.","86","South Asia"
"Nepal","nepal","17.53","2022 est.","87","South Asia"
"Turkmenistan","turkmenistan","17.51","2022 est.","88","Central Asia"
"Morocco","morocco","17.42","2022 est.","89","Africa"
"Israel","israel","17.41","2022 est.","90","Middle East"
"Venezuela","venezuela","17.27","2022 est.","91","South America"
"Peru","peru","17.21","2022 est.","92","South America"
"India","india","16.82","2022 est.","93","South Asia"
"Guyana","guyana","16.72","2022 est.","94","South America"
"American Samoa","american-samoa","16.70","2022 est.","95","Australia and Oceania"
"Fiji","fiji","16.56","2022 est.","96","Australia and Oceania"
"Nicaragua","nicaragua","16.52","2022 est.","97","Central America and the Caribbean"
"Ecuador","ecuador","16.45","2022 est.","98","South America"
"Burma","burma","16.34","2022 est.","99","East and Southeast Asia"
"Paraguay","paraguay","16.32","2022 est.","100","South America"
