country_name,slug,education_expenditures,date_of_information,ranking,region
"Marshall Islands","marshall-islands","13.6","2020 est.","1","Australia and Oceania"
"Solomon Islands","solomon-islands","12.8","2020 est.","2","Australia and Oceania"
"Kiribati","kiribati","12.4","2019 est.","3","Australia and Oceania"
"Greenland","greenland","10.2","2019 est.","4","North America"
"Bolivia","bolivia","9.8","2020 est.","5","South America"
"Micronesia, Federated States of","micronesia-federated-states-of","9.7","2018 est.","6","Australia and Oceania"
"Namibia","namibia","9.6","2021 est.","7","Africa"
"Sierra Leone","sierra-leone","9.1","2021 est.","8","Africa"
"Belize","belize","8.7","2021 est.","9","Central America and the Caribbean"
"Botswana","botswana","8.7","2020 est.","10","Africa"
"Lesotho","lesotho","8.7","2021 est.","11","Africa"
"Saudi Arabia","saudi-arabia","7.8","2020","12","Middle East"
"Iceland","iceland","7.7","2020 est.","13","Europe"
"Cabo Verde","cabo-verde","7.6","2020 est.","14","Africa"
"Faroe Islands","faroe-islands","7.6","2019 est.","15","Europe"
"Curacao","curacao","7.4","2020 est.","16","Central America and the Caribbean"
"Tunisia","tunisia","7.3","2016 est.","17","Africa"
"Sweden","sweden","7.2","2020 est.","18","Europe"
"Israel","israel","7.1","2020 est.","19","Middle East"
"Nauru","nauru","7.1","2021","20","Australia and Oceania"
"Algeria","algeria","7.0","2020 est.","21","Africa"
"Bhutan","bhutan","7.0","2021 est.","22","South Asia"
"Morocco","morocco","6.8","2020","23","Africa"
"Palau","palau","6.8","2019","24","Australia and Oceania"
"Belgium","belgium","6.7","2020 est.","25","Europe"
"Costa Rica","costa-rica","6.7","2020 est.","26","Central America and the Caribbean"
"Estonia","estonia","6.6","2020 est.","27","Europe"
"Kuwait","kuwait","6.6","2020 est.","28","Middle East"
"South Africa","south-africa","6.6","2021 est.","29","Africa"
"Tonga","tonga","6.6","2021 est.","30","Australia and Oceania"
"Barbados","barbados","6.5","2021 est.","31","Central America and the Caribbean"
"Denmark","denmark","6.4","2020 est.","32","Europe"
"Honduras","honduras","6.4","2020 est.","33","Central America and the Caribbean"
"Moldova","moldova","6.4","2020 est.","34","Europe"
"Macau","macau","6.3","2020 est.","35","East and Southeast Asia"
"Mozambique","mozambique","6.3","2020 est.","36","Africa"
"Kyrgyzstan","kyrgyzstan","6.2","2020 est.","37","Central Asia"
"Australia","australia","6.1","2020 est.","38","Australia and Oceania"
"Cyprus","cyprus","6.1","2020 est.","39","Europe"
"United States","united-states","6.1","2020 est.","40","North America"
"Brazil","brazil","6.0","2019 est.","41","South America"
"Jamaica","jamaica","6.0","2021 est.","42","Central America and the Caribbean"
"Latvia","latvia","6.0","2020 est.","43","Europe"
"New Zealand","new-zealand","6.0","2020 est.","44","Australia and Oceania"
"Finland","finland","5.9","2020 est.","45","Europe"
"Malta","malta","5.9","2020 est.","46","Europe"
"Norway","norway","5.9","2020 est.","47","Europe"
"Tajikistan","tajikistan","5.9","2020 est.","48","Central Asia"
"Maldives","maldives","5.8","2020 est.","49","South Asia"
"Slovenia","slovenia","5.8","2020 est.","50","Europe"
"Fiji","fiji","5.7","2020 est.","51","Australia and Oceania"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","5.7","2018 est.","52","Central America and the Caribbean"
"Chile","chile","5.6","2019 est.","53","South America"
"Aruba","aruba","5.5","2016 est.","54","Central America and the Caribbean"
"Burkina Faso","burkina-faso","5.5","2020 est.","55","Africa"
"Croatia","croatia","5.5","2020 est.","56","Europe"
"Dominica","dominica","5.5","2021 est.","57","Central America and the Caribbean"
"France","france","5.5","2020 est.","58","Europe"
"Senegal","senegal","5.5","2020 est.","59","Africa"
"United Kingdom","united-kingdom","5.5","2020 est.","60","Europe"
"Montserrat","montserrat","5.4","2020 est.","61","Central America and the Caribbean"
"Oman","oman","5.4","2019 est.","62","Middle East"
"Ukraine","ukraine","5.4","2020 est.","63","Europe"
"Gaza Strip","gaza-strip","5.3","2018 est.","64","Middle East"
"Netherlands","netherlands","5.3","2020 est.","65","Europe"
"West Bank","west-bank","5.3","2018 est.","66","Middle East"
"Canada","canada","5.2","2020 est.","67","North America"
"Poland","poland","5.2","2020 est.","68","Europe"
"Seychelles","seychelles","5.2","2020 est.","69","Africa"
