country_name,slug,population_growth_rate,date_of_information,ranking,region
"Syria","syria","5.91","2022 est.","1","Middle East"
"South Sudan","south-sudan","4.91","2022 est.","2","Africa"
"Niger","niger","3.66","2022 est.","3","Africa"
"Burundi","burundi","3.63","2022 est.","4","Africa"
"Equatorial Guinea","equatorial-guinea","3.50","2022 est.","5","Africa"
"Angola","angola","3.36","2022 est.","6","Africa"
"Benin","benin","3.34","2022 est.","7","Africa"
"Uganda","uganda","3.27","2022 est.","8","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","3.14","2022 est.","9","Africa"
"Chad","chad","3.09","2022 est.","10","Africa"
"Mali","mali","2.95","2022 est.","11","Africa"
"Zambia","zambia","2.90","2022 est.","12","Africa"
"Tanzania","tanzania","2.78","2022 est.","13","Africa"
"Guinea","guinea","2.76","2022 est.","14","Africa"
"Cameroon","cameroon","2.75","2022 est.","15","Africa"
"Liberia","liberia","2.73","2022 est.","16","Africa"
"Senegal","senegal","2.57","2022 est.","17","Africa"
"Mozambique","mozambique","2.56","2022 est.","18","Africa"
"Sudan","sudan","2.55","2022 est.","19","Africa"
"Burkina Faso","burkina-faso","2.53","2022 est.","20","Africa"
"Guinea-Bissau","guinea-bissau","2.53","2022 est.","21","Africa"
"Nigeria","nigeria","2.53","2022 est.","22","Africa"
"Sierra Leone","sierra-leone","2.49","2022 est.","23","Africa"
"Togo","togo","2.48","2022 est.","24","Africa"
"Ethiopia","ethiopia","2.46","2022 est.","25","Africa"
"Venezuela","venezuela","2.43","2022 est.","26","South America"
"Somalia","somalia","2.42","2022 est.","27","Africa"
"Gabon","gabon","2.40","2022 est.","28","Africa"
"Papua New Guinea","papua-new-guinea","2.35","2022 est.","29","East and Southeast Asia"
"Congo, Republic of the","congo-republic-of-the","2.34","2022 est.","30","Africa"
"Malawi","malawi","2.34","2022 est.","31","Africa"
"Afghanistan","afghanistan","2.30","2022 est.","32","South Asia"
"Gambia, The","gambia-the","2.29","2022 est.","33","Africa"
"Madagascar","madagascar","2.27","2022 est.","34","Africa"
"Ghana","ghana","2.23","2022 est.","35","Africa"
"Cote d'Ivoire","cote-divoire","2.19","2022 est.","36","Africa"
"Timor-Leste","timor-leste","2.15","2022 est.","37","East and Southeast Asia"
"Kenya","kenya","2.12","2022 est.","38","Africa"
"Gaza Strip","gaza-strip","2.02","2022 est.","39","Middle East"
"Iraq","iraq","2.00","2022 est.","40","Middle East"
"Mauritania","mauritania","1.99","2022 est.","41","Africa"
"Djibouti","djibouti","1.97","2022 est.","42","Africa"
"Pakistan","pakistan","1.95","2022 est.","43","South Asia"
"Zimbabwe","zimbabwe","1.95","2022 est.","44","Africa"
"British Virgin Islands","british-virgin-islands","1.91","2022 est.","45","Central America and the Caribbean"
"Yemen","yemen","1.88","2022 est.","46","Middle East"
"Turks and Caicos Islands","turks-and-caicos-islands","1.86","2022 est.","47","Central America and the Caribbean"
"Oman","oman","1.84","2022 est.","48","Middle East"
"Cayman Islands","cayman-islands","1.83","2022 est.","49","Central America and the Caribbean"
"Namibia","namibia","1.82","2022 est.","50","Africa"
"Anguilla","anguilla","1.80","2022 est.","51","Central America and the Caribbean"
"Central African Republic","central-african-republic","1.78","2022 est.","52","Africa"
"Rwanda","rwanda","1.74","2022 est.","53","Africa"
"Solomon Islands","solomon-islands","1.72","2022 est.","54","Australia and Oceania"
"West Bank","west-bank","1.69","2022 est.","55","Middle East"
"Egypt","egypt","1.68","2022 est.","56","Africa"
"Libya","libya","1.65","2022 est.","57","Africa"
"Belize","belize","1.64","2022 est.","58","Central America and the Caribbean"
"Luxembourg","luxembourg","1.64","2022 est.","59","Europe"
"Saudi Arabia","saudi-arabia","1.63","2022 est.","60","Middle East"
"Vanuatu","vanuatu","1.63","2022 est.","61","Australia and Oceania"
"Philippines","philippines","1.60","2022 est.","62","East and Southeast Asia"
"Guatemala","guatemala","1.58","2022 est.","63","Central America and the Caribbean"
"Panama","panama","1.53","2022 est.","64","Central America and the Caribbean"
"Sao Tome and Principe","sao-tome-and-principe","1.48","2022 est.","65","Africa"
"Brunei","brunei","1.45","2022 est.","66","East and Southeast Asia"
"Israel","israel","1.44","2022 est.","67","Middle East"
"Botswana","botswana","1.40","2022 est.","68","Africa"
"Tajikistan","tajikistan","1.40","2022 est.","69","Central Asia"
"Comoros","comoros","1.37","2022 est.","70","Africa"
"Algeria","algeria","1.34","2022 est.","71","Africa"
"Laos","laos","1.34","2022 est.","72","East and Southeast Asia"
"Marshall Islands","marshall-islands","1.34","2022 est.","73","Australia and Oceania"
"Australia","australia","1.25","2022 est.","74","Australia and Oceania"
"Sint Maarten","sint-maarten","1.23","2022 est.","75","Central America and the Caribbean"
"Cabo Verde","cabo-verde","1.21","2022 est.","76","Africa"
"Haiti","haiti","1.20","2022 est.","77","Central America and the Caribbean"
"Honduras","honduras","1.19","2022 est.","78","Central America and the Caribbean"
"New Caledonia","new-caledonia","1.19","2022 est.","79","Australia and Oceania"
"Kuwait","kuwait","1.17","2022 est.","80","Middle East"
"New Zealand","new-zealand","1.17","2022 est.","81","Australia and Oceania"
